ResponseId,id,"Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, other)",med_distrust,med_distrust2,med_trust,med_trust2,med_info,med_misc,safety-IoT,iot_distrust,iot_distrust2,iot_trust,iot_trust2,iot_info,iot_misc,notes,SCENARIO_Med,SCENARIO_IoT,EXPLN,FAQ,C med_distrust,C med_distrust2,C med_trust,C med_trust2,C med_info,C med_misc,C iot_distrust,C iot_distrust2,C iot_trust,C iot_trust2,C iot_info,C iot_misc,M med_distrust,M med_distrust2,M med_trust,M med_trust2,M med_info,M med_misc,M iot_distrust,M iot_distrust2,M iot_trust,M iot_trust2,M iot_info,M iot_misc
R_2r0stXlwu0qvM1y,292,If the data is used for other reasons other than medical use,Distrust:Future Use,,,,,,No,,,,,,,,Medical-Simple,IoT-Complex,None,Hide,Distrust:Future Use,,,,,,,,,,,,Distrust:Future Use,,,,,,,,,,,
R_27VEE4RMsBq3nB6,293,"There is always the human factor. Data may be input incorrectly or even worse, an external group of people hack the system and gain info. ",Distrust:Hacker,Distrust:Repeat People,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,Hide,Distrust:Hacker,Distrust:Repeat People,,,,,,,,,,,Distrust:Hacker,Distrust:Repeat People,,,,,,,,,,
R_71G1u738PLJxtaH,294,N/A,,,,,,,N/A,,,,,,,,Medical-Simple,IoT-Simple,Hardware,None,,,,,,,,,,,,,,,,,,,,,,,,
R_3ilCRvykVXnmkgc,295,I feel the data would be safe.,,,Trust:Vague,,,,I feel the data would be safe but I feel that there is no guarantee.,Distrust:Vague,,Trust:Vague,,,,,Medical-Complex,IoT-Complex,None,Show,,,Trust:Vague,,,,Distrust:Vague,,Trust:Vague,,,,,,Trust:Vague,,,,Distrust:Vague,,Trust:Vague,,,
R_6DZ8u8vHztdOJ1a,296,I would want to know more about the practices in place to ensure my data is safe,,,,,Info:TEE,,I think it would be safe as this doesn't obtain as much personal data as the last example,,,Trust:Vague,,Info:Data,,,Medical-Complex,IoT-Simple,None,None,,,,,Info:TEE,,,,Trust:Vague,,Info:Data,,,,,,Info:TEE,,,,Trust:Vague,,Info:Data,
R_3KefU3pNg600M49,297,no,,,,,,,no,,,,,,,,Medical-Complex,IoT-Simple,None,None,,,,,,,,,,,,,,,,,,,,,,,,
R_2lrafMlzQQPJFw3,298,,,,,,,,No. The issue data leaks is typically related to human error.,Distrust:Bug,,,,,,,Medical-Simple,IoT-Complex,Trust,Hide,,,,,,,Distrust:Bug,,,,,,,,,,,,Distrust:Bug,,,,,
R_6Iy10WMsjaSKVG1,299,none,,,,,,,I would not trust a company to keep any promise to me.,Distrust:Repeat Destination,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,None,,,,,,,Distrust:Repeat Destination,,,,,,,,,,,,Distrust:Repeat Destination,,,,,
R_57WHvUUWJTnYghP,300,I dislike anyone having that information.,Distrust:Repeat Data,,,,,,I would prefer the data were stored locally rather than at or by the company.,Distrust:Repeat Destination,Distrust:Transmission/Store,,,,,,Medical-Complex,IoT-Complex,Trust,Show,Distrust:Repeat Data,,,,,,Distrust:Repeat Destination,Distrust:Transmission/Store,,,,,Distrust:Repeat Data,,,,,,Distrust:Repeat Destination,Distrust:Transmission/Store,,,,
R_2WwehaFkwNvI6e9,301,safe,,,Trust:Vague,,,,it will be safe,,,Trust:Vague,,,,,Medical-Complex,IoT-Simple,Trust,Show,,,Trust:Vague,,,,,,Trust:Vague,,,,,,Trust:Vague,,,,,,Trust:Vague,,,
R_5CyyKMngr1WZTgI,302,no,,,,,,,no,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_2f7tc2n647RHVQ6,303,I don't understand why they need access to my medical records and therefore would opt out.,Distrust:Unnecessary,,,,,,There is still a risk of it being exposed and I dislike that.,Distrust:Gen,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,Distrust:Unnecessary,,,,,,Distrust:Gen,,,,,,Distrust:Unnecessary,,,,,,Distrust:Gen,,,,,
R_7qsrDhKJCsJZ9AZ,304,"Unsafe, there are data breaches everyday, and it's not worth the risk for me. ",Distrust:Breaches,Distrust:Unnecessary,,,,,Not sure how good the protection is.,,,,,Info:TEE,,,Medical-Simple,IoT-Complex,Hardware,Show,Distrust:Breaches,Distrust:Unnecessary,,,,,,,,,Info:TEE,,Distrust:Breaches,Distrust:Unnecessary,,,,,,,,,Info:TEE,
R_14NmsOn2QH4nsSM,305,The scenario suggests that personal data would likely be handled in a manner that promotes safety and security.,,,Trust:Repeat TEE,,,,the scenario suggests that my data would likely be handled in a manner that promotes safety.,,,Trust:Vague,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,,,Trust:Repeat TEE,,,,,,Trust:Vague,,,,,,Trust:Repeat TEE,,,,,,Trust:Vague,,,
R_1g11QGDFTU6xez6,306,The fact I will sue the data collectors if my data gets in the hands of those it does not belong to.,,,Trust:Repeat Destination,,,Misc:Despite Risk,Slightly concerned about a manufacturer having my home address and tracking my purchase history.,Distrust:Repeat Destination,,,,,,,Medical-Complex,IoT-Simple,Hardware,None,,,Trust:Repeat Destination,,,Misc:Despite Risk,Distrust:Repeat Destination,,,,,,,,Trust:Repeat Destination,,,Misc:Despite Risk,Distrust:Repeat Destination,,,,,
R_2sTFbTiISHObfi1,307,At this point in the technology curve I believe that all data can be breached no matter what so it becomes the decision of whether you want this data to be floating around on the internet because it will. In my opinion there's nothing that is safe and can't be hacked.,Distrust:Gen,Distrust:Hacker,,,,,Again I believe anything could be hacked so if you decide you want to be as part of the study just assume your date is going to be hacked and proceed with that understanding.,Distrust:Hacker,,,,,,,Medical-Simple,IoT-Complex,Hardware,None,Distrust:Gen,Distrust:Hacker,,,,,Distrust:Hacker,,,,,,Distrust:Gen,Distrust:Hacker,,,,,Distrust:Hacker,,,,,
R_21RDHYWAVaRU3fq,308,I feel safer that I did before.,,,Trust:Vague,,,,Tee's definitely make my date feel much more safe.,,,Trust:Repeat TEE,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Show,,,Trust:Vague,,,,,,Trust:Repeat TEE,,,,,,Trust:Vague,,,,,,Trust:Repeat TEE,,,
R_5nIubqs4bQagPB5,309,"as safe as it could be, i guess.",,,Trust:Vague,,,,as safe as this method could be,,,Trust:Vague,,,,,Medical-Complex,IoT-Simple,Trust,None,,,Trust:Vague,,,,,,Trust:Vague,,,,,,Trust:Vague,,,,,,Trust:Vague,,,
R_72OMfikqlWrnCI8,310,"My primary belief is that it is safe.  However, I have a small belief that any stored information on a computer can be breached.",,,Trust:Vague,,,Misc:Despite Risk,I mainly am uncomfortable with a company outside of the research team collecting my personal data including my voice.,Distrust:Repeat Data,Distrust:Repeat Destination,,,,,,Medical-Complex,IoT-Complex,Hardware,None,,,Trust:Vague,,,Misc:Despite Risk,Distrust:Repeat Data,Distrust:Repeat Destination,,,,,,,Trust:Vague,,,Misc:Despite Risk,Distrust:Repeat Data,Distrust:Repeat Destination,,,,
R_205XCDeCIy0SWNv,311,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,None,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_371qkkYCFm6khWY,312,,,,,,,,"Since it only gets the information I share with the assistant, I can make sure not to share sensitive information, which makes me feel more safe.",,,Trust:Repeat Data,,,,,Medical-Complex,IoT-Complex,Trust,Hide,,,,,,,,,Trust:Repeat Data,,,,,,,,,,,,Trust:Repeat Data,,,
R_1lMQ3NxoIAHVCPE,313,what medical records would they have of me,,,,,Info:Data,,Just the fact I don't want data to be collected for a basic device like a bulb,Distrust:Unnecessary,,,,,,,Medical-Complex,IoT-Simple,None,Hide,,,,,Info:Data,,Distrust:Unnecessary,,,,,,,,,,Info:Data,,Distrust:Unnecessary,,,,,
R_5tnvbdPcetyj3RT,314,The Tee will secure your data.,,,Trust:Repeat TEE,,,,The description of the Gatekeeper makes it safe for me.,,,Trust:Repeat TEE,,,Misc:Inaccurate,,Medical-Simple,IoT-Simple,None,Show,,,Trust:Repeat TEE,,,,,,Trust:Repeat TEE,,,Misc:Inaccurate,,,Trust:Repeat TEE,,,,,,Trust:Repeat TEE,,,Misc:Inaccurate
R_6rG3SO8hBsDqqYt,315,,,,,,,,"The complexity of the explanation for TEEs makes me feel like they are relatively safe, but since I don't completely understand the terminology, I'm not sure about how safe they are and how much they stand up to attackers.",Distrust:Breaches,,Trust:Repeat TEE,,Info:TEE,,,Medical-Complex,IoT-Simple,None,Hide,,,,,,,Distrust:Breaches,,Trust:Repeat TEE,,Info:TEE,,,,,,,,Distrust:Breaches,,Trust:Repeat TEE,,Info:TEE,
R_1PdEUY7dzY2gFIM,316,"The use of a TEE and additional security measures in the setting would make me feel more confident participating in the medical study, as they provide additional safeguards of privacy and data protection.",,,Trust:Repeat TEE,,,,I feel that my data would be quite safe as implementing a TEE provides an additional level of security and confidence in data protection.,,,Trust:Repeat TEE,,,,,Medical-Simple,IoT-Simple,Trust,Hide,,,Trust:Repeat TEE,,,,,,Trust:Repeat TEE,,,,,,Trust:Repeat TEE,,,,,,Trust:Repeat TEE,,,
R_1q4alCJcER26EPv,317,no,,,,,,,what kind of data is collected.,,,,,Info:Data,,,Medical-Simple,IoT-Complex,Trust,Hide,,,,,,,,,,,Info:Data,,,,,,,,,,,,Info:Data,
R_5yLyXQ6njIOxtC1,318,Data breaches still happen. It all sounds good but it's hard to trust anything these days. Some technology will probably come along that could break into it.,Distrust:Breaches,,,,,,I don't think there's anything really unsafe about it as it's harmless information but I just don't like my data being used for purposes like this.,Distrust:Repeat Purpose,,Trust:Boring,,,,,Medical-Complex,IoT-Simple,Hardware,Show,Distrust:Breaches,,,,,,Distrust:Repeat Purpose,,Trust:Boring,,,,Distrust:Breaches,,,,,,Distrust:Repeat Purpose,,Trust:Boring,,,
R_3jOCveTsQro8Nhq,319,Nothing else,,,,,,,Nothing else,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Show,,,,,,,,,,,,,,,,,,,,,,,,
