ResponseId,id,"Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, other)",med_distrust,med_distrust2,med_trust,med_trust2,med_info,med_misc,safety-IoT,iot_distrust,iot_distrust2,iot_trust,iot_trust2,iot_info,iot_misc,notes,SCENARIO_Med,SCENARIO_IoT,EXPLN,FAQ,C med_distrust,C med_distrust2,C med_trust,C med_trust2,C med_info,C med_misc,C iot_distrust,C iot_distrust2,C iot_trust,C iot_trust2,C iot_info,C iot_misc,M med_distrust,M med_distrust2,M med_trust,M med_trust2,M med_info,M med_misc,M iot_distrust,M iot_distrust2,M iot_trust,M iot_trust2,M iot_info,M iot_misc
R_2EoOQQllatTs7kG,342,"I would feel pretty safe, although I know everything is subject to error – so I understand that even protective measures can fail at times. That’s the only reason I don’t have 100% faith in it. I do feel that this helps bring up my feeling of security though.",,,Trust:Vague,,,Misc:Despite Risk,I worry that my data would be sold to marketers as has been done in the past.,Distrust:Sell,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,,,Trust:Vague,,,Misc:Despite Risk,Distrust:Sell,,,,,,,,Trust:Vague,,,Misc:Despite Risk,Distrust:Sell,,,,,
R_1VSA4XziOQm59Wp,343,I trust a hospital team more than a company.,,,Trust:Repeat Destination,,,,I would feel better if the data didn't collect the names of our light bulbs.,Distrust:Repeat Data,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,,,Trust:Repeat Destination,,,,Distrust:Repeat Data,,,,,,,,Trust:Repeat Destination,,,,Distrust:Repeat Data,,,,,
R_2ivaJrNFt1BLfbz,344,,,,,,,,Unforeseeable software glitches,Distrust:Bug,,,,,,,Medical-Simple,IoT-Complex,Hardware,Show,,,,,,,Distrust:Bug,,,,,,,,,,,,Distrust:Bug,,,,,
R_1uvn0gTA3pUqAIH,345,Will the information collected be accessed by insurance companies?,,,,,Info:Data,,the data is being listened to and handled by humans,Distrust:Repeat People,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,,,,,Info:Data,,Distrust:Repeat People,,,,,,,,,,Info:Data,,Distrust:Repeat People,,,,,
R_3FQgGcvo9kx4adg,346,I basically do not trust medical institutions to keep my data safe.,Distrust:Repeat Destination,,,,,,I don't trust anything to be failsafe with my data.,Distrust:Gen,,,,,,,Medical-Simple,IoT-Simple,None,None,Distrust:Repeat Destination,,,,,,Distrust:Gen,,,,,,Distrust:Repeat Destination,,,,,,Distrust:Gen,,,,,
R_1KYMsSvZuFvbo6R,347,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_8pvt4M0BHJpHKkp,348,None,,,,,,,No,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Show,,,,,,,,,,,,,,,,,,,,,,,,
R_7KVQYI9SKZSCxVv,349,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_3J2RUjqv2NOMYnR,350,"Same as before, you just never know if it's going to be hacked. ",Distrust:Hacker,,,,,,There is always the IF. Things can happen that are unexpectedly expected.,Distrust:Vague,,,,,,,Medical-Simple,IoT-Simple,Hardware,Show,Distrust:Hacker,,,,,,Distrust:Vague,,,,,,Distrust:Hacker,,,,,,Distrust:Vague,,,,,
R_2DLUd8otc8zeuMO,351,I still dont know what a TEE is so that makes me feel unsafe,,,,,Info:TEE,,I think the fact that data is being stored in a cloud is the thing that makes me unsafe.,Distrust:Transmission/Store,,,,,,,Medical-Complex,IoT-Simple,None,None,,,,,Info:TEE,,Distrust:Transmission/Store,,,,,,,,,,Info:TEE,,Distrust:Transmission/Store,,,,,
R_2uyvUlWJ6wDBm8a,352,no,,,,,,,no,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Show,,,,,,,,,,,,,,,,,,,,,,,,
R_85qKULfHypJrh1D,353,Hackers hack everything. Even things that are supposed to be safe. So I would never believe it if someone told me my data would be 100% safe.,Distrust:Hacker,,,,,,I don’t care who has that data so it isn’t as important to me that it is safe. Otherwise again I don’t believe even a TEE would be 100% safe from hackers.,Distrust:Hacker,,Trust:Boring,,,,,Medical-Complex,IoT-Simple,Trust,None,Distrust:Hacker,,,,,,Distrust:Hacker,,Trust:Boring,,,,Distrust:Hacker,,,,,,Distrust:Hacker,,Trust:Boring,,,
R_1oj5YlCZeZNEP75,354,trust in the hospital system,,,Trust:Repeat Destination,,,,understanding the history of the company and how well they've protected data in the past,,,,,Info:Destination,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,,,Trust:Repeat Destination,,,,,,,,Info:Destination,,,,Trust:Repeat Destination,,,,,,,,Info:Destination,
R_2AMYQPElahTE8GC,355,"I don't know how secure hospitals are, because I once had my data breached through a medical group. So it's not that I don't trust the researchers, it's more that I don't trust the security of the medical industry.",Distrust:Breaches,Distrust:Repeat Destination,,,,,I'm not comfortable with smart home tech.,,,,,,Misc:Don't Want,,Medical-Simple,IoT-Complex,None,Show,Distrust:Breaches,Distrust:Repeat Destination,,,,,,,,,,Misc:Don't Want,Distrust:Breaches,Distrust:Repeat Destination,,,,,,,,,,Misc:Don't Want
R_20tMc4u2zEGKrMH,356,No,,,,,,,No,,,,,,,,Medical-Complex,IoT-Simple,Hardware,None,,,,,,,,,,,,,,,,,,,,,,,,
R_6dFx0wTHXFbSLS5,357,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_3l4aASoH0UirNA4,358,"A local research study doesn't seem like a popular target for hackers. Additionally, most of the info provided is already public info ",Distrust:Hacker,,Trust:Boring,Trust:Repeat Purpose,,,The fact that it collects my voice feels the most unsafe,Distrust:Repeat Data,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,Distrust:Hacker,,Trust:Boring,Trust:Repeat Purpose,,,Distrust:Repeat Data,,,,,,Distrust:Hacker,,Trust:Boring,Trust:Repeat Purpose,,,Distrust:Repeat Data,,,,,
R_7IL6NwYCvXCSyoq,359,No there is not.,,,,,,,No there is not,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Show,,,,,,,,,,,,,,,,,,,,,,,,
R_2CBFjBbpQvivs3b,360,Maybe more description of TEE…like is it encrypted,,,,,Info:TEE,,Not really,,,,,,,,Medical-Complex,IoT-Simple,Hardware,None,,,,,Info:TEE,,,,,,,,,,,,Info:TEE,,,,,,,
R_7qjVm78A7fUXbhH,361,N/A,,,,,,,N/A,,,,,,,,Medical-Simple,IoT-Simple,Trust,None,,,,,,,,,,,,,,,,,,,,,,,,
R_7BzgNGsj6wdBmIQ,362,No,,,,,,,Bone,,,,,,,,Medical-Simple,IoT-Complex,Trust,None,,,,,,,,,,,,,,,,,,,,,,,,
R_8Gzzl0RnfAUxMiJ,363,"How is it possible to isolate data within this environment so that it’s not vulnerable to malicious attacks, whereas other data could potentially be impacted?",,,,,Info:TEE,,"I’d just be interested in knowing why this data would need to be collected firstly? How does knowing my name, address and bulb interactions be beneficial to this company?",Distrust:Unnecessary,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,None,,,,,Info:TEE,,Distrust:Unnecessary,,,,,,,,,,Info:TEE,,Distrust:Unnecessary,,,,,
R_2BRl8liY1EDVqxP,364,No,,,,,,,Turning lights on or off can indicate patterns that can be used for malicious activity.,Distrust:Repeat Data,,,,,,,Medical-Simple,IoT-Simple,None,None,,,,,,,Distrust:Repeat Data,,,,,,,,,,,,Distrust:Repeat Data,,,,,
R_5W8jRbjfY26qwBX,365,I am not sure if they are safe or unsafe but will just have see what it is about,,,,,Info:TEE,,I do not feel you could get much data from a light bulb so I feel it is safe,,,Trust:Boring,,,,,Medical-Complex,IoT-Simple,Trust,None,,,,,Info:TEE,,,,Trust:Boring,,,,,,,,Info:TEE,,,,Trust:Boring,,,
R_5E6smihTvN5qKV1,366,I feel that may data would be safe for the reasons provided,,,Trust:Vague,,,,I don't really like that my data is being collected by the AI tool in this scenario,Distrust:AI,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Hide,,,Trust:Vague,,,,Distrust:AI,,,,,,,,Trust:Vague,,,,Distrust:AI,,,,,
R_2AEGfbtZ67nq5ow,367,Nothing is completely safe on smart tech,Distrust:Gen,,,,,,In general all smart technology I don’t feel safe and it’s a risk,,,,,,Misc:Don't Want,,Medical-Complex,IoT-Complex,Unsubstantial,Hide,Distrust:Gen,,,,,,,,,,,Misc:Don't Want,Distrust:Gen,,,,,,,,,,,Misc:Don't Want
R_1PKLXfV089xvWPL,368,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_3puva9ckOnGVx4q,369,N/A,,,,,,,N/A,,,,,,,,Medical-Complex,IoT-Complex,Hardware,None,,,,,,,,,,,,,,,,,,,,,,,,
R_1sVSKvoicXyMrAt,370,"Just as before, it's tough to be certain that all people involved take confidentiality seriously.",Distrust:Repeat People,,,,,,"People are an unknown variable, plus if a company is involved, money is generally more important that data safety.",Distrust:Repeat Destination,Distrust:Repeat People,,,,,,Medical-Simple,IoT-Complex,Hardware,Show,Distrust:Repeat People,,,,,,Distrust:Repeat Destination,Distrust:Repeat People,,,,,Distrust:Repeat People,,,,,,Distrust:Repeat Destination,Distrust:Repeat People,,,,
R_1Q59GpUY1E8zdNq,371,N/A,,,,,,,N/A,,,,,,,,Medical-Simple,IoT-Simple,None,Show,,,,,,,,,,,,,,,,,,,,,,,,
R_2C3aN7RRIJxWsTI,372,no I wouldn't be worried about my data,,,Trust:Vague,,,,I think I would trust my data to be safe,,,Trust:Vague,,,,,Medical-Complex,IoT-Complex,Unsubstantial,None,,,Trust:Vague,,,,,,Trust:Vague,,,,,,Trust:Vague,,,,,,Trust:Vague,,,
R_2gM9wABLgHgaWNS,373,"Nothing, it all makes me feel safe! :) ",,,Trust:Vague,,,,The fact that they're using TEE makes me feel safer about my data being used.,,,Trust:Repeat TEE,,,,,Medical-Simple,IoT-Simple,Trust,Hide,,,Trust:Vague,,,,,,Trust:Repeat TEE,,,,,,Trust:Vague,,,,,,Trust:Repeat TEE,,,
R_2kRkpeOSwexeLRf,374,if the TEE is working properly then there should be no need for worry about any of the data given.,,,Trust:Repeat TEE,,,,"my only concern would not be the TEE itself, but the members of the team who can see the information and what they could do with it",Distrust:Repeat People,,,,,,,Medical-Simple,IoT-Complex,Trust,Show,,,Trust:Repeat TEE,,,,Distrust:Repeat People,,,,,,,,Trust:Repeat TEE,,,,Distrust:Repeat People,,,,,
R_2dXTLbyHDNyDelH,375,"How long the data ia stored 
That anyone on the development can vew and is it sold to others.",Distrust:Repeat People,Distrust:Sell,,,Info:Data,,"Everhthing is behind acode, gatatekeeper, secret keyin part of the cpu.
The. I5 answers with thesam3 encryptions. If thaT makes aNy sense.",,,Trust:Vague,,,Misc:Inaccurate,,Medical-Simple,IoT-Complex,Unsubstantial,Show,Distrust:Repeat People,Distrust:Sell,,,Info:Data,,,,Trust:Vague,,,Misc:Inaccurate,Distrust:Repeat People,Distrust:Sell,,,Info:Data,,,,Trust:Vague,,,Misc:Inaccurate
R_3E5Um2tCLyQAIqn,376,Have to always worry about a system being hacked,Distrust:Hacker,,,,,,Mostly safe but always fearful of hacking,Distrust:Hacker,,Trust:Vague,,,,,Medical-Simple,IoT-Simple,None,Hide,Distrust:Hacker,,,,,,Distrust:Hacker,,Trust:Vague,,,,Distrust:Hacker,,,,,,Distrust:Hacker,,Trust:Vague,,,
R_8ffH1rjS69tQ5Vf,377,None,,,,,,,None,,,,,,,,Medical-Complex,IoT-Simple,Trust,None,,,,,,,,,,,,,,,,,,,,,,,,
R_3DtNPfIsUVo7FET,378,Health information is something very important. I would not want to rely on AI for that.,Distrust:AI,Distrust:Repeat Data,,,,,It would make me feel a lot more safe if this product did not have the option to store any data on me without my advance consent.,Distrust:Repeat Data,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,Distrust:AI,Distrust:Repeat Data,,,,,Distrust:Repeat Data,,,,,,Distrust:AI,Distrust:Repeat Data,,,,,Distrust:Repeat Data,,,,,
R_3gOupvonU31s74C,379,The need for collection for the advertised reason doesn't feel entirely reasonable.,Distrust:Unnecessary,,,,,,"At all points represented in the scenario, I certainly feel like all data would be safe. My concern, however, would be down the road. If the company is sold or acquired, what happens to the data then? ",,,Trust:Vague,,Info:Destination,,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,Distrust:Unnecessary,,,,,,,,Trust:Vague,,Info:Destination,,Distrust:Unnecessary,,,,,,,,Trust:Vague,,Info:Destination,
R_8mUVmBeywZsPjLi,380,Because the data is protected by a TEE then it is safe from anyone trying to access it that is not other then the researchers using it.,,,Trust:Repeat TEE,,,,Where the data is placed makes me feel it is safe as it resides elsewhere out of reach of the normal interactions.  That makes me feel it is safer as it cannot be accessed even normally by anything that is hindered maliciously on the main computer or software.,,,Trust:Repeat TEE,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,,,Trust:Repeat TEE,,,,,,Trust:Repeat TEE,,,,,,Trust:Repeat TEE,,,,,,Trust:Repeat TEE,,,
R_5qaK1G3cf1n5Jn1,381,"If an environment outside the TEE exists, what guarantee is there that my data would not end up in that unsafe place?",,,,,Info:TEE,,"Since the purpose of the TEE is to provide a ""safety zone,"" I feel overall that my data would be safe.",,,"Trust:""Trust""",Trust:Repeat TEE,,,,Medical-Complex,IoT-Complex,Hardware,Hide,,,,,Info:TEE,,,,"Trust:""Trust""",Trust:Repeat TEE,,,,,,,Info:TEE,,,,"Trust:""Trust""",Trust:Repeat TEE,,
R_25NMsbSseZxGszx,382,None,,,,,,,The TEE is the thing that makes it feel the most safe,,,Trust:Repeat TEE,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Show,,,,,,,,,Trust:Repeat TEE,,,,,,,,,,,,Trust:Repeat TEE,,,
R_7QatRifTVsNtw9W,383,N/a,,,,,,,N/a,,,,,,,,Medical-Complex,IoT-Simple,Trust,None,,,,,,,,,,,,,,,,,,,,,,,,
R_7U58l0dDt0rvQrr,384,I simply don't know enough about TEE's to feel completely safe.,,,,,Info:TEE,,I don't know enough about it right now to feel completely safe.,,,,,Info:TEE,,,Medical-Complex,IoT-Complex,Trust,None,,,,,Info:TEE,,,,,,Info:TEE,,,,,,Info:TEE,,,,,,Info:TEE,
R_7PRxZJR79aOxswB,385,Nothing comes to mind.,,,,,,,Nothing comes to mind.,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_81nscanoUCDrw9B,386,Sharing my personal address seems excessive,Distrust:Unnecessary,,,,,,Using my address to brainstorm new projects makes me uncomfortable,Distrust:Repeat Data,,,,,,,Medical-Simple,IoT-Simple,None,None,Distrust:Unnecessary,,,,,,Distrust:Repeat Data,,,,,,Distrust:Unnecessary,,,,,,Distrust:Repeat Data,,,,,
R_3X6EJZMsrqGRyhO,387,unsafe if they dont have the trusted and experienced tech support handling the data,,,,,Info:People,,i feel safe that a  tee is used and only a select few can see it,,,Trust:People,Trust:Repeat TEE,,,,Medical-Complex,IoT-Complex,None,Show,,,,,Info:People,,,,Trust:People,Trust:Repeat TEE,,,,,,,Info:People,,,,Trust:People,Trust:Repeat TEE,,
R_7OiQNKH5EorPgrv,388,"Nothing really makes me feel unsafe about it, I just don't know enough about it so far.",,,,,Info:TEE,,No thank you,,,,,,,,Medical-Simple,IoT-Complex,None,Hide,,,,,Info:TEE,,,,,,,,,,,,Info:TEE,,,,,,,
R_1e7axH5nRjXpgJj,389,NA,,,,,,,I think it is somewhat or mostly safe from what I read so I wouldn't have much concerns about it using it.,,,Trust:Vague,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,,,,,,,,,Trust:Vague,,,,,,,,,,,,Trust:Vague,,,
R_10U61XwpgeK3L2c,390,Nothing comes to mind.,,,,,,,Nothing comes to mind.,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Show,,,,,,,,,,,,,,,,,,,,,,,,
R_2PiA8BsVIy2Rqq5,391,No,,,,,,,No,,,,,,,,Medical-Simple,IoT-Simple,Hardware,None,,,,,,,,,,,,,,,,,,,,,,,,
R_31636W8VIisYRzk,392,"No additional comments, the scenario explanation makes me feel the data would be very safe",,,Trust:Vague,,,,What makes me feel unsafe is the fact that companies have had many data breaches and have been discovered not using collected data in the way they claimed to.,Distrust:Breaches,Distrust:Lie,,,,,,Medical-Complex,IoT-Complex,Trust,Show,,,Trust:Vague,,,,Distrust:Breaches,Distrust:Lie,,,,,,,Trust:Vague,,,,Distrust:Breaches,Distrust:Lie,,,,
R_29YQTPFrQaEGPSN,393,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,None,,,,,,,,,,,,,,,,,,,,,,,,
R_3bQPiVdsmMAEo6J,394,No,,,,,,,No,,,,,,,,Medical-Complex,IoT-Simple,Trust,Show,,,,,,,,,,,,,,,,,,,,,,,,
R_5CjDE3wo6YQxgk0,395,I am unsure of what exactly a TEE is.,,,,,Info:TEE,,Unsure how securely the data will be stored.,,,,,Info:TEE,,,Medical-Simple,IoT-Complex,None,None,,,,,Info:TEE,,,,,,Info:TEE,,,,,,Info:TEE,,,,,,Info:TEE,
R_3zjybtkKhUN0DmN,396,Mostly just the fact that it is being collected in general.,Distrust:Vague,,,,,,You can figure out a lot about a person based off habits using voice assistants.,Distrust:Repeat Data,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,Distrust:Vague,,,,,,Distrust:Repeat Data,,,,,,Distrust:Vague,,,,,,Distrust:Repeat Data,,,,,
R_3iDvwjBt8r3GSQh,397,"nothing at all! 
",,,,,,,the transmission of the data could be concerning.,Distrust:Transmission/Store,,,,,,,Medical-Simple,IoT-Complex,None,Show,,,,,,,Distrust:Transmission/Store,,,,,,,,,,,,Distrust:Transmission/Store,,,,,
R_5CytN6W5J7rroqd,398,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,,,,,,,,,,,,,,,,,,,,,,,,
R_2njwNgqTK9DmXBo,399,No,,,,,,,A lightbulb shouldn't be collecting data about you address and data about you to sell you more product,Distrust:Unnecessary,,,,,,,Medical-Simple,IoT-Simple,Hardware,Show,,,,,,,Distrust:Unnecessary,,,,,,,,,,,,Distrust:Unnecessary,,,,,
R_1cnqZx8E4s2KrVn,400,It generally feels safe because the data is only viewed in aggregate.,,,Trust:Masked,,,,It doesn't necessarily make me feel safe or unsafe. It is more about that I don't really understand why they would necessarily need this information.,Distrust:Unnecessary,,,,,,,Medical-Simple,IoT-Simple,Trust,Show,,,Trust:Masked,,,,Distrust:Unnecessary,,,,,,,,Trust:Masked,,,,Distrust:Unnecessary,,,,,
R_8FLEkkZmLze3zNO,401,"As with the previous example, in this scenario the data (& ergo the consumer’s privacy) is only as “safe” as the people and corporate motives with access to it. The TEE could be as tight as paper on a wall, but if someone with ulterior motives wants to access the data or apply it in a manner that is inconsistent with the original intent, the TEE is worthless. ",Distrust:Repeat People,,,,,,Capitalism will never champion my privacy rights.,Distrust:Repeat Purpose,,,,,,,Medical-Complex,IoT-Complex,None,None,Distrust:Repeat People,,,,,,Distrust:Repeat Purpose,,,,,,Distrust:Repeat People,,,,,,Distrust:Repeat Purpose,,,,,
R_6dMgwdTV7jrm2HL,402,there is nothing else to mention here,,,,,,,it seems quite sophisticated so I would feel safe,,,Trust:Repeat TEE,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Hide,,,,,,,,,Trust:Repeat TEE,,,,,,,,,,,,Trust:Repeat TEE,,,
R_1QKm2BDvyTWFwsZ,403,Since its a hospital collecting data it makes me feel more safe,,,Trust:Repeat Destination,,,,I just dont like how my name and address would be stored by unknown persons,Distrust:Repeat Data,Distrust:Repeat People,,,,,,Medical-Simple,IoT-Simple,None,Show,,,Trust:Repeat Destination,,,,Distrust:Repeat Data,Distrust:Repeat People,,,,,,,Trust:Repeat Destination,,,,Distrust:Repeat Data,Distrust:Repeat People,,,,
R_5hLpzqemwXgv0rC,404,Unsafe,Distrust:Vague,,,,,,Unsafe,Distrust:Vague,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,Distrust:Vague,,,,,,Distrust:Vague,,,,,,Distrust:Vague,,,,,,Distrust:Vague,,,,,
R_7R9RZqHohjodqKL,405,I would think that my info would be safe.,,,Trust:Vague,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,None,,,Trust:Vague,,,,,,,,,,,,Trust:Vague,,,,,,,,,
R_57drjoPwkXJvv0i,406,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,Show,,,,,,,,,,,,,,,,,,,,,,,,
R_5Vm0EWANqjMoKJ3,407,It makes sense it would be safe,,,Trust:Vague,,,,no,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Show,,,Trust:Vague,,,,,,,,,,,,Trust:Vague,,,,,,,,,
R_1dLUaIlnxXaypIP,408,I believe my data is safe with those involved in the study but could be subject to hackers.,Distrust:Hacker,,Trust:People,,,,None,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,Distrust:Hacker,,Trust:People,,,,,,,,,,Distrust:Hacker,,Trust:People,,,,,,,,,
R_75AgL4odiTMfqWY,409,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,,,,,,,,,,,,,,,,,,,,,,,,
R_20v0N65dLCOcAUh,410,I feel that the risk of a data breach is always a possibility. So I think that its moderately safe. Neither safe or unsafe.,Distrust:Breaches,,,,,,Potential of a data breach is always a risk. That would make me feel unsafe about this scenario.,Distrust:Breaches,Distrust:Gen,,,,,,Medical-Complex,IoT-Complex,Trust,None,Distrust:Breaches,,,,,,Distrust:Breaches,Distrust:Gen,,,,,Distrust:Breaches,,,,,,Distrust:Breaches,Distrust:Gen,,,,
R_3OQ8MuIpZKGwKm7,411,There isn't really anything about the scenario that makes me feel like my data would be unsafe. I never knew TEE existed and even my phone has it. Also I got to learn something new.,,,Trust:Vague,,,,"Nothing else really, I think my data would be safe under a TEE.",,,Trust:Repeat TEE,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,,,Trust:Vague,,,,,,Trust:Repeat TEE,,,,,,Trust:Vague,,,,,,Trust:Repeat TEE,,,
R_5aqqXbZRRwy6B4k,412,"Somewhat unsafe. People, the researchers, would have access to my name, exact address, and my medical conditions. They might be from my community or know someone in my circle and be tempted to share the information or utilize it in some negative way themselves. It also bothers me that, if I understand the scenario correctly, my data could be shared in the future. ",Distrust:Future Use,Distrust:Repeat People,,,,,"As in the first scenario, I don't like the use of my name and specific address being divulged to the researchers. Especially for something such as a light bulb. I don't see the risk is worth it. The exact times I am using the bulb could also be utilized to recognize a pattern of when I am home or not which makes me feel unsafe as I do not know the people who would have access to my information.",Distrust:Repeat Data,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,Distrust:Future Use,Distrust:Repeat People,,,,,Distrust:Repeat Data,,,,,,Distrust:Future Use,Distrust:Repeat People,,,,,Distrust:Repeat Data,,,,,
R_5FWGDCrHvJCG573,413,the addresses,Distrust:Repeat Data,,,,,,Nothing else; just the idea of data collection is hard to think about,Distrust:Vague,,,,,,,Medical-Simple,IoT-Simple,Hardware,Show,Distrust:Repeat Data,,,,,,Distrust:Vague,,,,,,Distrust:Repeat Data,,,,,,Distrust:Vague,,,,,
R_7wbfseINWTZGAoL,414,Nothing else to report,,,,,,,I feel unsafe generally abiut my data being shared with large companies. However it seems that it has been done many times in my life so at this point I'm becoming indifferent.,Distrust:Repeat Destination,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,,,,,,,Distrust:Repeat Destination,,,,,,,,,,,,Distrust:Repeat Destination,,,,,
R_5zpU0uH9VTtEgtT,415,"the medical information is very sensitive, and regardless of what I know about TEEs, knowing a team of developers who I don't know are using it would make me feel uncertain. However, knowing that by sharing my data I could help increase resoures for others, I would feel safer.",Distrust:Repeat Data,Distrust:Repeat People,Trust:Repeat Purpose,,,,"The ideas of TEEs make me feel generally safe, but what feels unsafe is that my voice assistant would be constantly listening to me as a form of data collection to inform its software. I also have insecurities and questions I described below.",Distrust:Repeat Data,,Trust:Repeat TEE,,,,,Medical-Simple,IoT-Complex,None,Show,Distrust:Repeat Data,Distrust:Repeat People,Trust:Repeat Purpose,,,,Distrust:Repeat Data,,Trust:Repeat TEE,,,,Distrust:Repeat Data,Distrust:Repeat People,Trust:Repeat Purpose,,,,Distrust:Repeat Data,,Trust:Repeat TEE,,,
R_7YSzTGMkZA9VitD,416,"I feel that at this point no data is safe. It's just something we need to accept. I'm sure that all my data is out there somewhere, I just don't know about most of it. But I think every person at this point has gotten a notification that some service they use has had a data breach and their information is out on the dark web. There's nothing you can do about it. It is what it is. But I just think it's an inevitability. No matter how secure people claim your data is.",Distrust:Breaches,Distrust:Gen,,,,,The fact that it's just information like my address and my voice makes me feel that the data is relatively safe. It's not very important info and if someone wanted it there are easier ways to get it.,,,Trust:Boring,,,,,Medical-Complex,IoT-Complex,Unsubstantial,None,Distrust:Breaches,Distrust:Gen,,,,,,,Trust:Boring,,,,Distrust:Breaches,Distrust:Gen,,,,,,,Trust:Boring,,,
R_7oYii1LmVfBiDDX,417,No,,,,,,,No,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_1shU2dOtAd1ItNj,418,"I've had medical data hacked & my identity compromised from two different hospitals, and that's just basic records. These experiences have led me to distrust that my information is ever truly 'safe'. I would be more inclined to participate in this instance (a medical study) IF my information was truly randomized and did not include pictures of sensitive or identifying areas of my body.",Distrust:Gen,Distrust:Hacker,,,Info:Data,,There have been far too many breaches of 'secure' servers and programs for me to trust that my information is truly protected. I also dislike that AI will be trained on me.,Distrust:AI,Distrust:Breaches,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,Distrust:Gen,Distrust:Hacker,,,Info:Data,,Distrust:AI,Distrust:Breaches,,,,,Distrust:Gen,Distrust:Hacker,,,Info:Data,,Distrust:AI,Distrust:Breaches,,,,
R_2sc67ESgU29lsCl,419,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_5PoudNrvgTIfyIv,420,"They collect everything but not sure I want to rush my medical information to the masses, it’s possible I think even with a TEE. But I also think they are already collecting medical data. ",Distrust:Gen,Distrust:Repeat TEE,,,,Misc:Inaccurate,The data is already out at this point they are collecting everything everywhere. Having another device that collects data isn’t the issue. The issue is how it’s used and who it’s used by.,Distrust:Repeat Destination,Distrust:Repeat Purpose,,,,,,Medical-Complex,IoT-Complex,Trust,Show,Distrust:Gen,Distrust:Repeat TEE,,,,Misc:Inaccurate,Distrust:Repeat Destination,Distrust:Repeat Purpose,,,,,Distrust:Gen,Distrust:Repeat TEE,,,,Misc:Inaccurate,Distrust:Repeat Destination,Distrust:Repeat Purpose,,,,
R_5CvYWX49HUUeJtt,421,Concerned about potential data leaks that can expose private information.,Distrust:Breaches,,,,,,Wouldn’t trust a smart light bulb company to properly protect data.,Distrust:Repeat Destination,,,,,,,Medical-Simple,IoT-Simple,Trust,None,Distrust:Breaches,,,,,,Distrust:Repeat Destination,,,,,,Distrust:Breaches,,,,,,Distrust:Repeat Destination,,,,,
R_1wLHVNbnO4cXAoR,422,My data would be safe.,,,Trust:Vague,,,,I think my data would be safe.,,,Trust:Vague,,,,,Medical-Simple,IoT-Complex,Trust,None,,,Trust:Vague,,,,,,Trust:Vague,,,,,,Trust:Vague,,,,,,Trust:Vague,,,
