ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN,FAQ,Med_First
R_2fHSAfOMiFgr9Po,261,I hope the tee can protect my info,,,,,,,,,,I think the tee is supposed to be safe but you just never know,Distrust:Vague,,,,,,,,,,Good survey taught me about tees,,Medical-Complex,IoT-Simple,Hardware,Hide,0
R_7VEor5uGCXOKZ4g,262,"How can we trust the ""authorized"" personnel in contact with the data? What credentials do these individuals possess?",,,,,,,Scenario:People,,,none,,,,,,,,,,,none,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,1
R_53pQnZAEFfEzlQg,263,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Show,0
R_7941iDVEhKRE5k5,264,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Show,1
R_3dKrsQYbYVTaJki,265,I want to make sure professionals are taking care of my data security.,,,,,,,,,,I need more information about the team that will be collecting my data safe.,,,,,,,Scenario:People,,,,,,Medical-Simple,IoT-Simple,None,None,0
R_7jm4emIKd2sa7ER,266,No,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Hide,0
R_6ON4hidbARdhpKI,267,What is the strength of the cryptographic security,,,,Gen:Encryption,,,,,,N/a,,,,,,,,,,,No,,Medical-Complex,IoT-Complex,Trust,Show,1
R_12Fi2cMn9TtMgYu,268,Are the diagnostics from the TEEs aggregated in any way?,,,,,,,Scenario:Misc,,,How do I know that there is a TEE being used? Is there any indication to the user that there is a TEE being used to protect their data?,,,,,,,,,,,It was not clear what other aspects of data protection we should consider in these scenarios? For example will the data be archived? What is the data retention policy? etc. It would be good to be clear if those areas are in/out of scope for this project.,,Medical-Complex,IoT-Simple,None,Hide,1
R_14N2Kha2GlL5ZPN,269,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,None,0
R_2ReiEwAn0er80zq,270,Does it run on a VPN network. Also doe it have security flaws or bugs?,,Risk:General,,Gen:Tech,,,,,,N/A,,,,,,,,,,,Don't forget to install security updates.,,Medical-Simple,IoT-Simple,Trust,None,1
R_5j5Yo2jVqC4Se1X,271,N/A- same question as in the last scenario,,,,,,,,,,"i don’t understand enough to feel confident that a TEE is truly completely protected from the other parts of the computer that it is on. i don’t understand how if a virus infects that computer, maybe even a virus specifically made to target TEEs, how it wouldn’t be able to access that part of the computer. it’s all on the same system regardless, wouldn’t it be possible to find a way to access it?",Distrust:TEE,Risk:General,,Gen:Implementation,Gen:Isolation,,,,,,,,Medical-Complex,IoT-Complex,Hardware,None,0
R_2GWyi8e7wvBfm9N,272,none,,,,,,,,,,None,,,,,,,,,,,none,,Medical-Simple,IoT-Simple,None,Hide,0
R_196vTHT8ROJaJS0,273,How is a TEE 100% hacker proof?,,Risk:Hacking,,,,,,,,No,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Show,1
R_7iQZ4JLqLiI0ba4,274,How many people have access to the data in the TEE? What happens to the data once the study is done?,,,,,,,Scenario:Future,Scenario:People,,N/A,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Show,1
R_2RxcgujTXgM15Ci,275,No.,,,,,,,,,,No.,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,None,1
R_5N2s61uk8LBJmcV,276,None,,,,,,,,,,None,,,,,,,,,,,Thank you for the opportunity,,Medical-Simple,IoT-Complex,Unsubstantial,Show,0
R_3f8uvF1X2gEyrag,277,none,,,,,,,,,,No,,,,,,,,,,,No. Have a nice day!,,Medical-Complex,IoT-Complex,Trust,Hide,0
R_2c1Iedrs5uo796x,278,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,1
R_14zG1Wjwv5TQ9ih,279,none,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,None,0
R_3Ln8quyqDAEFSs6,280,I have no more questions.,,,,,,,,,,None,,,,,,,,,,,I had no issues. Have a blessed day!,,Medical-Complex,IoT-Complex,Hardware,Show,1
R_2gRPT91gKb7KvMZ,281,No,,,,,,,,,,No,,,,,,,,,,,,,Medical-Complex,IoT-Complex,None,Show,1
R_5rDvVoC3O41GNw0,282,nothing additional.,,,,,,,,,,Nothing additional.,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,Hide,0
R_1DZmZRiwLP7zF1h,283,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,1
R_7ItlNLZKE0jwkGV,284,No,,,,,,,,,,None.  I just think it's unnecessary for companies to collect my data or have me opt in to data collection by simply using a product,,,,,,,Scenario:Data,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,0
R_2OrDqx9KSyvtg02,285,None,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_5iGIGfSiRFcBFpn,286,No comment,,,,,,,,,,I do not have any questions.,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Show,0
R_2kpSmV2yo8iuFVW,287,How safe is Tee,,,,,,,,,Guarantee:General,does the TEE often has errors??,,Risk:General,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,None,0
R_2s1xBdG98f5lJTa,288,Why are they necessary for this?,,,,,,,Scenario:Misc,,,How much will it cost to use and maintain?,,,,Gen:Misc,,,,,,,This was great!,,Medical-Complex,IoT-Complex,Hardware,Show,0
R_2n8iFFVE2yuHTAB,289,I felt like there was enough information,,,,,,,,,,no other questions,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Show,1
R_72L4R8C7qjp92kB,290,You might as well be explaining neuroscience to me. I have a lot of questions about what I read. Why are yes even needed. What do they do etc,,,,Gen:Untechnical,Gen:What?,,,,,None,,,,,,,,,,,Good luck with your research,,Medical-Complex,IoT-Complex,None,Show,1
R_2USojRxwBSDVHzP,291,,,,,,,,,,,I have no question.,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Show,0
R_2r0stXlwu0qvM1y,292,Will the data be used and transferred to other parties,,,,,,,Scenario:Data,,,No,,,,,,,,,,,Great survey,,Medical-Simple,IoT-Complex,None,Hide,1
R_27VEE4RMsBq3nB6,293,A TEE works best if it is a proprietary system that only certain groups have access to. At least that is my opinion.,,,,Gen:Misc,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,Hide,1
R_71G1u738PLJxtaH,294,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,None,1
R_3ilCRvykVXnmkgc,295,How much testing has been done?,,,,,,,,,Guarantee:Testing,There is always space for error.,Distrust:Vague,Risk:General,,,,,,,,,No,,Medical-Complex,IoT-Complex,None,Show,0
R_6DZ8u8vHztdOJ1a,296,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,None,1
R_3KefU3pNg600M49,297,none,,,,,,,,,,none,,,,,,,,,,,Have a good day,,Medical-Complex,IoT-Simple,None,None,0
R_2lrafMlzQQPJFw3,298,,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Hide,0
