"Question","Scenario","term","estimate","OR","CI","OR_low","OR_high","p.value","q_value","Status"
"A","MedicalSimple","EXPLN_S1Hardware",0.416187082044106,1.51616949042697,"[0.221, 12.969]",0.221430171509854,12.9687185220326,0.672586057889851,1,""
"A","MedicalSimple","EXPLN_S1Trust",0.381232292531574,1.46408766254141,"[0.221, 12.084]",0.221280533254671,12.0838383242308,0.692787304550237,1,""
"A","MedicalSimple","EXPLN_S2Untechnical",0.164182187799127,1.17842899092075,"[0.233, 6.674]",0.233342611105987,6.67414257555968,0.842135009174139,1,""
"A","MedicalSimple","EXPLN_S3Prevents",-0.383830052213197,0.68124719379498,"[0.128, 3.245]",0.127768914058485,3.24473997469292,0.627731880505918,1,""
"A","MedicalSimple","combined_Medical_ExperienceTRUE",-1.42915704325658,0.239510734361013,"[0.044, 1.172]",0.0438993699986115,1.17204084662115,0.0759285951476656,0.151857190295331,""
"A","MedicalSimple","combined_CS_ExperienceTRUE",-0.312290439808413,0.731768962523757,"[0.142, 5.554]",0.141571071406309,5.55431169767184,0.726082300024884,0.726082300024884,""
"A","MedicalComplex","EXPLN_S1Hardware",0.0264021141233697,1.02675373765283,"[0.039, 27.023]",0.0389360905974263,27.0233241239686,0.985425337100845,1,""
"A","MedicalComplex","EXPLN_S1Trust",-1.76563110862584,0.171078783111875,"[0.009, 1.023]",0.0089450713655231,1.02331142909018,0.105725784556786,0.422903138227144,""
"A","MedicalComplex","EXPLN_S2Untechnical",-0.240368887527909,0.786337737374296,"[0.175, 3.314]",0.174755586217576,3.31449550333044,0.741865112745229,1,""
"A","MedicalComplex","EXPLN_S3Prevents",-0.558638068215966,0.571987541624681,"[0.112, 2.433]",0.112317977289795,2.43320465678611,0.460172055165069,1,""
"A","MedicalComplex","combined_Medical_ExperienceTRUE",0.323769285727587,1.3823283474477,"[0.282, 10.529]",0.282489813685401,10.5288532200866,0.714479359089119,0.714479359089119,""
"A","MedicalComplex","combined_CS_ExperienceTRUE",-1.45490818397647,0.23342179477829,"[0.053, 0.980]",0.0527798662569223,0.980360885201398,0.0446017108830366,0.13380513264911,"Lost significance"
"A","IoTSimple","EXPLN_S1Hardware",-0.0393293662351809,0.961433993096762,"[0.107, 8.623]",0.106897011689569,8.6234309927574,0.970019382382783,1,""
"A","IoTSimple","EXPLN_S1Trust",-0.482934836266295,0.616970026134139,"[0.076, 4.043]",0.0758996482834302,4.04316065742363,0.614011773583225,1,""
"A","IoTSimple","EXPLN_S2Untechnical",-0.178179490285466,0.836792213935238,"[0.154, 4.988]",0.153644482547268,4.98836253606801,0.835557530663373,1,""
"A","IoTSimple","EXPLN_S3Prevents",-0.992784487552871,0.370543479500841,"[0.047, 2.039]",0.0467812610794826,2.03865411024959,0.28073680064907,1,""
"A","IoTSimple","combined_IoT_ExperienceTRUE",-15.9746391755126,1.15425657121096e-07,"[NA, 257882735604892724109216004815769871197799610630991593340928.000]",NA,2.57882735604893e+59,0.992138230589406,1,""
"A","IoTSimple","combined_CS_ExperienceTRUE",-1.75823972753024,0.172347976362463,"[0.032, 0.825]",0.0322512329530232,0.824779522831627,0.0267727316748757,0.107090926699503,"Lost significance"
"A","IoTComplex","EXPLN_S1Hardware",-0.810899621344015,0.444458042373485,"[0.020, 4.880]",0.0199745636015005,4.87995787596709,0.517470454597142,1,""
"A","IoTComplex","EXPLN_S1Trust",-1.72269914168252,0.178583474702463,"[0.009, 1.162]",0.00912808085432836,1.16205788835851,0.122369287558063,0.422903138227144,""
"A","IoTComplex","EXPLN_S2Untechnical",0.132816999817247,1.14204098549773,"[0.252, 5.183]",0.252279622530847,5.18292072562341,0.8587007369751,1,""
"A","IoTComplex","EXPLN_S3Prevents",-0.47652259075585,0.620938900513786,"[0.121, 2.703]",0.121266819015343,2.70317368431757,0.531802527242973,1,""
