"Question","Scenario","term","estimate","OR","CI","OR_low","OR_high","p.value","q_value","McFadden_R2","Status"
"Q1","MedicalSimple","EXPLNUnsubstantial",-0.424043958325004,0.654395115163441,"[0.124, 2.958]",0.124269475200597,2.9576140346279,0.586733966078239,0.586733966078239,0.172701791619072,""
"Q1","MedicalSimple","EXPLNHardware",0.659235689137589,1.93331411658527,"[0.227, 40.683]",0.227122429235648,40.682975156511,0.580281043234864,0.615105497583744,0.172701791619072,""
"Q1","MedicalSimple","EXPLNTrust",-0.337275671206285,0.713712062915767,"[0.121, 4.189]",0.120926881024495,4.18854386799932,0.696911780351635,0.778201056600887,0.172701791619072,""
"Q1","MedicalSimple","FAQHide",18.0697431792688,70402770.8676186,"[0.000, NA]",2.77707215139917e-57,NA,0.992767607736818,0.996477409954109,0.172701791619072,""
"Q1","MedicalSimple","FAQShow",0.526193947325607,1.69247837256301,"[0.480, 6.798]",0.479556456260071,6.79751644111033,0.4240386977537,0.821089613352275,0.172701791619072,""
"Q1","MedicalSimple","combined_Medical_ExperienceTRUE",-0.978212664281584,0.375982505619806,"[0.104, 1.282]",0.103928332854432,1.28159963179037,0.118406066596113,0.236812133192227,0.172701791619072,""
"Q1","MedicalSimple","combined_CS_ExperienceTRUE",-0.838037597911727,0.432558544869163,"[0.122, 1.655]",0.121797515107239,1.65520397718571,0.199312901113285,0.265750534817714,0.172701791619072,""
"Q1","MedicalComplex","EXPLNUnsubstantial",1.26905306547999,3.55748226412126,"[0.431, 74.031]",0.431344106348408,74.0309055218609,0.282515869364371,0.565031738728741,0.0636005315144657,""
"Q1","MedicalComplex","EXPLNHardware",1.61082764125154,5.00695347469015,"[0.598, 104.954]",0.598065467199301,104.954084385253,0.174913523932507,0.615105497583744,0.0636005315144657,""
"Q1","MedicalComplex","EXPLNTrust",0.239348381664647,1.27042105089794,"[0.223, 7.279]",0.22250981139969,7.27940813837578,0.778201056600887,0.778201056600887,0.0636005315144657,""
"Q1","MedicalComplex","FAQHide",-0.0037707605666111,0.996236339823587,"[0.173, 5.755]",0.173262517215518,5.75453187995984,0.996477409954109,0.996477409954109,0.0636005315144657,""
"Q1","MedicalComplex","FAQShow",0.470863704816673,1.60137671286719,"[0.253, 12.635]",0.253393516710686,12.6349479190141,0.615817210014206,0.821089613352275,0.0636005315144657,""
"Q1","MedicalComplex","combined_Medical_ExperienceTRUE",-0.68729628170258,0.502934024398646,"[0.116, 2.563]",0.115983184691552,2.56297008248964,0.365601471398928,0.365601471398928,0.0636005315144657,""
"Q1","MedicalComplex","combined_CS_ExperienceTRUE",0.847270992604137,2.33327064268169,"[0.395, 44.454]",0.395033856004747,44.4541223131112,0.435942035033324,0.435942035033324,0.0636005315144657,""
"Q1","IoTSimple","EXPLNUnsubstantial",-1.44507524720044,0.235728337990985,"[0.012, 1.603]",0.0118838795089535,1.60303731972938,0.200727150211971,0.565031738728741,0.103932061099006,""
"Q1","IoTSimple","EXPLNHardware",-1.20820093969568,0.298734237183027,"[0.014, 2.483]",0.0142791981475074,2.48279635063153,0.307953652440308,0.615105497583744,0.103932061099006,""
"Q1","IoTSimple","EXPLNTrust",-0.614482955771729,0.540920502842305,"[0.024, 5.948]",0.0243927682181341,5.94794060358553,0.623384943578798,0.778201056600887,0.103932061099006,""
"Q1","IoTSimple","FAQHide",0.769322706612615,2.15830395364194,"[0.551, 10.676]",0.551183187635375,10.6755368572587,0.292316046724419,0.996477409954109,0.103932061099006,""
"Q1","IoTSimple","FAQShow",1.60616646651714,4.98366949715818,"[0.839, 95.096]",0.838702799207062,95.095762711636,0.140313230541886,0.561252922167544,0.103932061099006,""
"Q1","IoTSimple","combined_IoT_ExperienceTRUE",0.433394109670363,1.54248400878943,"[0.214, 7.031]",0.214093942757424,7.03127546396191,0.61024853162248,0.61024853162248,0.103932061099006,""
"Q1","IoTSimple","combined_CS_ExperienceTRUE",-1.03761150965189,0.354299914067672,"[0.093, 1.379]",0.0929264363328429,1.37915633887634,0.122853646822555,0.245707293645111,0.103932061099006,""
"Q1","IoTComplex","EXPLNUnsubstantial",0.889360498887942,2.43357288100109,"[0.215, 55.539]",0.215025179993553,55.5385664685805,0.484226608564246,0.586733966078239,0.083333333613376,""
"Q1","IoTComplex","EXPLNHardware",0.644559333167715,1.90514730903737,"[0.165, 43.998]",0.164615623933778,43.9979095232061,0.615105497583744,0.615105497583744,0.083333333613376,""
"Q1","IoTComplex","EXPLNTrust",-0.666650316122828,0.513425513750333,"[0.061, 3.418]",0.0614860420523175,3.41840317675798,0.492020142835456,0.778201056600887,0.083333333613376,""
"Q1","IoTComplex","FAQHide",0.0487939637301115,1.05000398954629,"[0.113, 9.694]",0.11323801956629,9.69386911730647,0.963401718795946,0.996477409954109,0.083333333613376,""
"Q1","IoTComplex","FAQShow",-0.18442091739125,0.831585701265735,"[0.102, 5.479]",0.101723407408537,5.47903375490947,0.84769061408073,0.84769061408073,0.083333333613376,""
"Q1","IoTComplex","combined_IoT_ExperienceTRUE",1.17709927986698,3.24494785233096,"[0.422, 18.358]",0.422212434857385,18.3583503801622,0.197104689130777,0.394209378261554,0.083333333613376,""
"Q1","IoTComplex","combined_CS_ExperienceTRUE",-1.41679960436092,0.242488836586052,"[0.044, 1.370]",0.0442286060775225,1.37018953868212,0.091882430741793,0.245707293645111,0.083333333613376,""
"Q2","MedicalSimple","EXPLNUnsubstantial",-1.17281620061926,0.309494115296678,"[0.044, 1.420]",0.043795134923313,1.41987028205154,0.163614340065656,0.327228680131312,0.0794251070201811,""
"Q2","MedicalSimple","EXPLNHardware",-0.264621962672509,0.767496037291282,"[0.089, 6.643]",0.0886950192060386,6.64344946468356,0.796039608194413,0.796039608194413,0.0794251070201811,""
"Q2","MedicalSimple","EXPLNTrust",-1.66576644114138,0.189045710032272,"[0.027, 0.807]",0.0274259945915205,0.806828559064797,0.0421959338790096,0.168783735516038,0.0794251070201811,"Lost significance"
"Q2","MedicalSimple","FAQHide",0.291589032655669,1.3385528030962,"[0.430, 4.395]",0.430381118861725,4.39513178305147,0.616434986955398,0.766221386199202,0.0794251070201811,""
"Q2","MedicalSimple","FAQShow",0.842375730096213,2.3218765815973,"[0.677, 9.297]",0.676932772762093,9.2965512697657,0.196150706359893,0.196150706359893,0.0794251070201811,""
"Q2","MedicalSimple","combined_Medical_ExperienceTRUE",0.971155450706592,2.6409942357375,"[0.812, 11.925]",0.812452911227094,11.9245828362374,0.143055029109377,0.235088331967913,0.0794251070201811,""
"Q2","MedicalSimple","combined_CS_ExperienceTRUE",-0.0863859483414555,0.917240155580331,"[0.298, 3.467]",0.297880860863808,3.46726216366565,0.887642606514486,0.887642606514486,0.0794251070201811,""
