"Question","Scenario","term","p.value","q_value","Status"
"C","IoTSimple","combined_IoT_ExperienceTRUE",0.0458287018554903,0.0916574037109806,"Lost significance"
"C","IoTSimple","combined_CS_ExperienceTRUE",0.357805337605892,0.94948304680918,""
"C","IoTComplex","EXPLN_S1Hardware",0.424415452680998,0.647693738829705,""
"C","IoTComplex","EXPLN_S1Trust",0.371424902553096,0.584731156403646,""
"C","IoTComplex","EXPLN_S2Untechnical",0.677008779773092,0.818762377419631,""
"C","IoTComplex","EXPLN_S3Prevents",0.203586947562316,0.271449263416422,""
"C","IoTComplex","combined_IoT_ExperienceTRUE",0.360527894955895,0.360527894955895,""
"C","IoTComplex","combined_CS_ExperienceTRUE",0.691145072531818,0.94948304680918,""
"D","MedicalSimple","EXPLN_S1Hardware",0.973109011809326,0.973109011809326,""
"D","MedicalSimple","EXPLN_S1Trust",0.979890442397832,0.979890442397832,""
"D","MedicalSimple","EXPLN_S2Untechnical",0.635689375251019,0.825159763505226,""
"D","MedicalSimple","EXPLN_S3Prevents",0.000716769239713379,0.00286707695885352,"Stayed significant"
"D","MedicalSimple","combined_Medical_ExperienceTRUE",0.10249852837013,0.204997056740261,""
"D","MedicalSimple","combined_CS_ExperienceTRUE",0.699966459548086,0.699966459548086,""
"D","MedicalComplex","EXPLN_S1Hardware",0.810976549825961,0.973109011809326,""
"D","MedicalComplex","EXPLN_S1Trust",0.683446662157374,0.911262216209832,""
"D","MedicalComplex","EXPLN_S2Untechnical",0.204453904904389,0.601718403338053,""
"D","MedicalComplex","EXPLN_S3Prevents",0.0064410326167285,0.00858804348897133,"Stayed significant"
"D","MedicalComplex","combined_Medical_ExperienceTRUE",0.981376856792942,0.981376856792942,""
"D","MedicalComplex","combined_CS_ExperienceTRUE",0.0423393217987127,0.169357287194851,"Lost significance"
"D","IoTSimple","EXPLN_S1Hardware",0.373891728722396,0.756313662159486,""
"D","IoTSimple","EXPLN_S1Trust",0.648879249333393,0.911262216209832,""
"D","IoTSimple","EXPLN_S2Untechnical",0.825159763505226,0.825159763505226,""
"D","IoTSimple","EXPLN_S3Prevents",0.136296681246655,0.136296681246655,""
"D","IoTSimple","combined_IoT_ExperienceTRUE",0.0698590219574987,0.139718043914997,""
"D","IoTSimple","combined_CS_ExperienceTRUE",0.17166213206488,0.34332426412976,""
"D","IoTComplex","EXPLN_S1Hardware",0.378156831079743,0.756313662159486,""
"D","IoTComplex","EXPLN_S1Trust",0.59815409046579,0.911262216209832,""
"D","IoTComplex","EXPLN_S2Untechnical",0.300859201669026,0.601718403338053,""
"D","IoTComplex","EXPLN_S3Prevents",0.00613792054476469,0.00858804348897133,"Stayed significant"
"D","IoTComplex","combined_IoT_ExperienceTRUE",0.578026609863294,0.578026609863294,""
"D","IoTComplex","combined_CS_ExperienceTRUE",0.599391405329355,0.699966459548086,""
"E","MedicalSimple","EXPLN_S1Hardware",0.949467480712994,0.949467480712994,""
"E","MedicalSimple","EXPLN_S1Trust",0.422650133201548,0.824946428450616,""
"E","MedicalSimple","EXPLN_S2Untechnical",0.24687348254141,0.954772094426024,""
"E","MedicalSimple","EXPLN_S3Prevents",0.786011601291015,0.941684067348824,""
"E","MedicalSimple","combined_Medical_ExperienceTRUE",0.690079595641016,0.690079595641016,""
"E","MedicalSimple","combined_CS_ExperienceTRUE",0.767311588860932,0.89080216660851,""
"E","MedicalComplex","EXPLN_S1Hardware",0.102962089117637,0.411848356470546,""
"E","MedicalComplex","EXPLN_S1Trust",0.480632371899782,0.824946428450616,""
"E","MedicalComplex","EXPLN_S2Untechnical",0.798916085540284,0.954772094426024,""
"E","MedicalComplex","EXPLN_S3Prevents",0.92897858108982,0.941684067348824,""
"E","MedicalComplex","combined_Medical_ExperienceTRUE",0.652309996305041,0.690079595641016,""
"E","MedicalComplex","combined_CS_ExperienceTRUE",0.89080216660851,0.89080216660851,""
"E","IoTSimple","EXPLN_S1Hardware",0.701685196400655,0.93558026186754,""
"E","IoTSimple","EXPLN_S1Trust",0.88071579100635,0.88071579100635,""
"E","IoTSimple","EXPLN_S2Untechnical",0.508303481105307,0.954772094426024,""
"E","IoTSimple","EXPLN_S3Prevents",0.941684067348824,0.941684067348824,""
"E","IoTSimple","combined_IoT_ExperienceTRUE",0.376659656244853,0.376659656244853,""
"E","IoTSimple","combined_CS_ExperienceTRUE",0.0187982636788618,0.0751930547154471,"Lost significance"
"E","IoTComplex","EXPLN_S1Hardware",0.429489009739705,0.85897801947941,""
"E","IoTComplex","EXPLN_S1Trust",0.618709821337962,0.824946428450616,""
"E","IoTComplex","EXPLN_S2Untechnical",0.954772094426024,0.954772094426024,""
"E","IoTComplex","EXPLN_S3Prevents",0.666347791895789,0.941684067348824,""
"E","IoTComplex","combined_IoT_ExperienceTRUE",0.206377271745398,0.376659656244853,""
"E","IoTComplex","combined_CS_ExperienceTRUE",0.869045433693846,0.89080216660851,""
"F","MedicalSimple","EXPLN_S1Hardware",0.0639797279107816,0.255918911643127,""
"F","MedicalSimple","EXPLN_S1Trust",0.436590520859912,0.582120694479883,""
"F","MedicalSimple","EXPLN_S2Untechnical",0.72333913297572,0.72333913297572,""
"F","MedicalSimple","EXPLN_S3Prevents",0.37861598558572,0.450604016254926,""
"F","MedicalSimple","combined_Medical_ExperienceTRUE",0.95918216206607,0.95918216206607,""
"F","MedicalSimple","combined_CS_ExperienceTRUE",0.85263441233577,0.892577684121733,""
"F","MedicalComplex","EXPLN_S1Hardware",0.202177221085209,0.404354442170419,""
"F","MedicalComplex","EXPLN_S1Trust",0.297108436563286,0.582120694479883,""
"F","MedicalComplex","EXPLN_S2Untechnical",0.24761649623125,0.495232992462499,""
"F","MedicalComplex","EXPLN_S3Prevents",0.160036346000334,0.320072692000669,""
"F","MedicalComplex","combined_Medical_ExperienceTRUE",0.91471317934707,0.95918216206607,""
"F","MedicalComplex","combined_CS_ExperienceTRUE",0.61823662962195,0.892577684121733,""
"F","IoTSimple","EXPLN_S1Hardware",0.811732317859156,0.811732317859156,""
"F","IoTSimple","EXPLN_S1Trust",0.387478647763954,0.582120694479883,""
"F","IoTSimple","EXPLN_S2Untechnical",0.681352073706492,0.72333913297572,""
"F","IoTSimple","EXPLN_S3Prevents",0.117020326059781,0.320072692000669,""
"F","IoTSimple","combined_IoT_ExperienceTRUE",0.290746207285083,0.581492414570167,""
"F","IoTSimple","combined_CS_ExperienceTRUE",0.892577684121733,0.892577684121733,""
"F","IoTComplex","EXPLN_S1Hardware",0.322406931862159,0.429875909149545,""
"F","IoTComplex","EXPLN_S1Trust",0.730126204719894,0.730126204719894,""
"F","IoTComplex","EXPLN_S2Untechnical",0.0932219011182043,0.372887604472817,""
"F","IoTComplex","EXPLN_S3Prevents",0.450604016254926,0.450604016254926,""
"F","IoTComplex","combined_IoT_ExperienceTRUE",0.885285009452895,0.885285009452895,""
"F","IoTComplex","combined_CS_ExperienceTRUE",0.47479157945749,0.892577684121733,""
"G","MedicalSimple","EXPLN_S1Hardware",0.794896919012611,0.794896919012611,""
"G","MedicalSimple","EXPLN_S1Trust",0.243832554143974,0.515941850969189,""
"G","MedicalSimple","EXPLN_S2Untechnical",0.626503722121998,0.718729263447191,""
"G","MedicalSimple","EXPLN_S3Prevents",0.9885469403654,0.9885469403654,""
"G","MedicalSimple","combined_Medical_ExperienceTRUE",0.941823461532482,0.941823461532482,""
"G","MedicalSimple","combined_CS_ExperienceTRUE",0.167000771147117,0.334001542294234,""
"G","MedicalComplex","EXPLN_S1Hardware",0.412600074416019,0.794896919012611,""
"G","MedicalComplex","EXPLN_S1Trust",0.701247785850947,0.934997047801263,""
"G","MedicalComplex","EXPLN_S2Untechnical",0.241350709897224,0.718729263447191,""
"G","MedicalComplex","EXPLN_S3Prevents",0.207288335012933,0.82915334005173,""
"G","MedicalComplex","combined_Medical_ExperienceTRUE",0.112030770010759,0.224061540021519,""
"G","MedicalComplex","combined_CS_ExperienceTRUE",0.45173820513202,0.491314442363241,""
"G","IoTSimple","EXPLN_S1Hardware",0.740149214469966,0.794896919012611,""
"G","IoTSimple","EXPLN_S1Trust",0.971670027044517,0.971670027044517,""
"G","IoTSimple","EXPLN_S2Untechnical",0.718729263447191,0.718729263447191,""
"G","IoTSimple","EXPLN_S3Prevents",0.914615990682839,0.9885469403654,""
"G","IoTSimple","combined_IoT_ExperienceTRUE",0.404614385094059,0.404614385094059,""
"G","IoTSimple","combined_CS_ExperienceTRUE",0.0455344858760975,0.18213794350439,"Lost significance"
"G","IoTComplex","EXPLN_S1Hardware",0.752883380959723,0.794896919012611,""
"G","IoTComplex","EXPLN_S1Trust",0.257970925484595,0.515941850969189,""
"G","IoTComplex","EXPLN_S2Untechnical",0.459450271639807,0.718729263447191,""
"G","IoTComplex","EXPLN_S3Prevents",0.675627645443647,0.9885469403654,""
"G","IoTComplex","combined_IoT_ExperienceTRUE",0.319376632056236,0.404614385094059,""
"G","IoTComplex","combined_CS_ExperienceTRUE",0.491314442363241,0.491314442363241,""
"H","MedicalSimple","EXPLN_S1Hardware",0.00630806666677956,0.0252322666671183,"Stayed significant"
"H","MedicalSimple","EXPLN_S1Trust",0.489164391363861,0.69236636180125,""
"H","MedicalSimple","EXPLN_S2Untechnical",0.763449715049452,0.763449715049452,""
"H","MedicalSimple","EXPLN_S3Prevents",0.631415690911311,0.696723978235256,""
"H","MedicalSimple","combined_Medical_ExperienceTRUE",0.387196016075297,0.387196016075297,""
"H","MedicalSimple","combined_CS_ExperienceTRUE",0.313172821817295,0.41756376242306,""
"H","MedicalComplex","EXPLN_S1Hardware",0.767634253715209,0.811763720696473,""
"H","MedicalComplex","EXPLN_S1Trust",0.69236636180125,0.69236636180125,""
"H","MedicalComplex","EXPLN_S2Untechnical",0.135067717285569,0.540270869142275,""
"H","MedicalComplex","EXPLN_S3Prevents",0.0841405717024487,0.336562286809795,""
"H","MedicalComplex","combined_Medical_ExperienceTRUE",0.0435897868055434,0.0871795736110869,"Lost significance"
"H","MedicalComplex","combined_CS_ExperienceTRUE",0.584238446523739,0.584238446523739,""
"H","IoTSimple","EXPLN_S1Hardware",0.811763720696473,0.811763720696473,""
"H","IoTSimple","EXPLN_S1Trust",0.691584906746374,0.69236636180125,""
"H","IoTSimple","EXPLN_S2Untechnical",0.385481313248717,0.763449715049452,""
"H","IoTSimple","EXPLN_S3Prevents",0.696723978235256,0.696723978235256,""
"H","IoTSimple","combined_IoT_ExperienceTRUE",0.0312015364481448,0.0624030728962896,"Lost significance"
"H","IoTSimple","combined_CS_ExperienceTRUE",0.0554857191224705,0.221942876489882,""
"H","IoTComplex","EXPLN_S1Hardware",0.138432257731224,0.276864515462449,""
"H","IoTComplex","EXPLN_S1Trust",0.0356553643883005,0.142621457553202,"Lost significance"
"H","IoTComplex","EXPLN_S2Untechnical",0.700671840977861,0.763449715049452,""
"H","IoTComplex","EXPLN_S3Prevents",0.349389893796516,0.696723978235256,""
"H","IoTComplex","combined_IoT_ExperienceTRUE",0.979621019064392,0.979621019064392,""
"H","IoTComplex","combined_CS_ExperienceTRUE",0.20213652708998,0.40427305417996,""
"I","MedicalSimple","EXPLN_S1Hardware",0.0656409455987081,0.262563782394833,""
"I","MedicalSimple","EXPLN_S1Trust",0.225527522983466,0.729894232459022,""
"I","MedicalSimple","EXPLN_S2Untechnical",0.383899486278237,0.767798972556474,""
"I","MedicalSimple","EXPLN_S3Prevents",0.913593636880697,0.913593636880697,""
"I","MedicalSimple","combined_Medical_ExperienceTRUE",0.514626766686401,0.572544373106484,""
"I","MedicalSimple","combined_CS_ExperienceTRUE",0.502245240889834,0.669660321186446,""
"I","MedicalComplex","EXPLN_S1Hardware",0.812875077262958,0.970200317762678,""
"I","MedicalComplex","EXPLN_S1Trust",0.729894232459022,0.729894232459022,""
"I","MedicalComplex","EXPLN_S2Untechnical",0.238184607085286,0.767798972556474,""
"I","MedicalComplex","EXPLN_S3Prevents",0.506414005537604,0.869849906599449,""
"I","MedicalComplex","combined_Medical_ExperienceTRUE",0.572544373106484,0.572544373106484,""
"I","MedicalComplex","combined_CS_ExperienceTRUE",0.0123232754340039,0.0492931017360155,"Stayed significant"
"I","IoTSimple","EXPLN_S1Hardware",0.970200317762678,0.970200317762678,""
"I","IoTSimple","EXPLN_S1Trust",0.480964375978844,0.729894232459022,""
"I","IoTSimple","EXPLN_S2Untechnical",0.921629371375199,0.921629371375199,""
"I","IoTSimple","EXPLN_S3Prevents",0.652387429949587,0.869849906599449,""
"I","IoTSimple","combined_IoT_ExperienceTRUE",0.376995060432345,0.701339499442363,""
"I","IoTSimple","combined_CS_ExperienceTRUE",0.698123768427201,0.698123768427201,""
"I","IoTComplex","EXPLN_S1Hardware",0.571052135210892,0.970200317762678,""
"I","IoTComplex","EXPLN_S1Trust",0.635436716925572,0.729894232459022,""
"I","IoTComplex","EXPLN_S2Untechnical",0.905039903718482,0.921629371375199,""
"I","IoTComplex","EXPLN_S3Prevents",0.056772009627909,0.227088038511636,""
"I","IoTComplex","combined_IoT_ExperienceTRUE",0.701339499442363,0.701339499442363,""
"I","IoTComplex","combined_CS_ExperienceTRUE",0.38759389790191,0.669660321186446,""
"J","MedicalSimple","EXPLN_S1Hardware",0.444967040608868,0.444967040608868,""
"J","MedicalSimple","EXPLN_S1Trust",0.838202268339156,0.952399190793894,""
"J","MedicalSimple","EXPLN_S2Untechnical",0.460803611731006,0.460803611731006,""
"J","MedicalSimple","EXPLN_S3Prevents",0.0181304919359598,0.072521967743839,"Lost significance"
"J","MedicalSimple","combined_Medical_ExperienceTRUE",0.289161609632051,0.289161609632051,""
"J","MedicalSimple","combined_CS_ExperienceTRUE",0.846973286158914,0.846973286158914,""
"J","MedicalComplex","EXPLN_S1Hardware",0.381815937768065,0.444967040608868,""
"J","MedicalComplex","EXPLN_S1Trust",0.916322489666143,0.952399190793894,""
"J","MedicalComplex","EXPLN_S2Untechnical",0.0125491123859043,0.0501964495436173,"Lost significance"
"J","MedicalComplex","EXPLN_S3Prevents",0.996470123507382,0.996470123507382,""
"J","MedicalComplex","combined_Medical_ExperienceTRUE",0.000750917545447701,0.0015018350908954,"Stayed significant"
"J","MedicalComplex","combined_CS_ExperienceTRUE",0.453150964498937,0.604201285998583,""
"J","IoTSimple","EXPLN_S1Hardware",0.326978112360603,0.444967040608868,""
"J","IoTSimple","EXPLN_S1Trust",0.545755174550319,0.952399190793894,""
"J","IoTSimple","EXPLN_S2Untechnical",0.398464252623346,0.460803611731006,""
"J","IoTSimple","EXPLN_S3Prevents",0.976586091987141,0.996470123507382,""
"J","IoTSimple","combined_IoT_ExperienceTRUE",0.924205711544796,0.924205711544796,""
"J","IoTSimple","combined_CS_ExperienceTRUE",0.201414401886258,0.604201285998583,""
"J","IoTComplex","EXPLN_S1Hardware",0.219045274168828,0.444967040608868,""
"J","IoTComplex","EXPLN_S1Trust",0.952399190793894,0.952399190793894,""
"J","IoTComplex","EXPLN_S2Untechnical",0.213205880979758,0.426411761959517,""
"J","IoTComplex","EXPLN_S3Prevents",0.153409879924423,0.306819759848845,""
"J","IoTComplex","combined_IoT_ExperienceTRUE",0.167899997948426,0.335799995896852,""
"J","IoTComplex","combined_CS_ExperienceTRUE",0.387762022172498,0.604201285998583,""
