"Question","Scenario","term","estimate","OR","CI","OR_low","OR_high","p.value","q_value","Status","R2_Nagelkerke"
"willingness","MedicalSimple","Would not|Maybe would",-1.83140993583501,0.160187554307229,"[NA, NA]",NA,NA,3.90472496592203e-08,1.56188998636881e-07,"Stayed significant",0.00843014082697243
"willingness","MedicalSimple","Maybe would|Definitely would",0.682040570371252,1.97790968098583,"[NA, NA]",NA,NA,0.0272835329515145,0.0272835329515145,"Stayed significant",0.00843014082697243
"willingness","MedicalSimple","EXPLNUnsubstantial",-0.305257141477574,0.736933853765833,"[0.388, 1.396]",0.38750519422748,1.39633208086421,0.349845038393243,0.699690076786486,"",0.00843014082697243
"willingness","MedicalSimple","EXPLNHardware",0.1074431266751,1.11342753461984,"[0.550, 2.258]",0.549650276831834,2.2575076799278,0.765208571304199,0.966902497265123,"",0.00843014082697243
"willingness","MedicalSimple","EXPLNTrust",0.0162907989223051,1.01642421750086,"[0.516, 2.002]",0.515854128887587,2.0023916711247,0.962385727758546,0.962385727758546,"",0.00843014082697243
"willingness","MedicalSimple","FAQHide",-0.0858276004990879,0.917752437644616,"[0.504, 1.668]",0.504492633522595,1.66818904170436,0.778154463730794,0.778154463730794,"",0.00843014082697243
"willingness","MedicalSimple","FAQShow",-0.00787416597996386,0.992156754055254,"[0.556, 1.771]",0.555553697897622,1.77129526177644,0.97873233781617,0.97873233781617,"",0.00843014082697243
"willingness","MedicalSimple","combined_Medical_ExperienceTRUE",-0.0486788593283858,0.952486962891105,"[0.565, 1.603]",0.565353665201936,1.60318549525194,0.85452668042147,0.994356035604626,"",0.00843014082697243
"willingness","MedicalSimple","combined_CS_ExperienceTRUE",0.077361342288474,1.08043241178623,"[0.591, 1.973]",0.591389571035514,1.97349476513523,0.800920650606247,0.800920650606247,"",0.00843014082697243
"willingness","MedicalComplex","Would not|Maybe would",-1.10682015948978,0.330608573926436,"[NA, NA]",NA,NA,0.000747513805813485,0.00149502761162697,"Stayed significant",0.0362647725317284
