"Question","Scenario","term","estimate","OR","CI","OR_low","OR_high","p.value","q_value","Status","R2_Nagelkerke"
"safety_overall_init","MedicalSimple","Not at all safe|Somewhat safe",-2.6858273775774,0.0681647726541971,"[NA, NA]",NA,NA,2.38533109310584e-09,9.54132437242337e-09,"Stayed significant",0.0392192790327752
"safety_overall_init","MedicalSimple","Somewhat safe|Completely safe",-0.36008591692996,0.697616386437941,"[NA, NA]",NA,NA,0.292332268327774,0.427379139031656,"",0.0392192790327752
"safety_overall_init","MedicalSimple","EXPLNUnsubstantial",0.626421919312224,1.87090434199535,"[0.899, 3.966]",0.899102988688095,3.9659852240879,0.0965145125195835,0.193029025039167,"",0.0392192790327752
"safety_overall_init","MedicalSimple","EXPLNHardware",0.311319787965057,1.36522573414601,"[0.621, 3.079]",0.620901817248028,3.07874295415435,0.443618221202709,0.443618221202709,"",0.0392192790327752
"safety_overall_init","MedicalSimple","EXPLNTrust",0.721293973884951,2.05709331424797,"[0.929, 4.740]",0.929184914594673,4.73961897027098,0.0807628408483112,0.323051363393245,"",0.0392192790327752
"safety_overall_init","MedicalSimple","FAQHide",0.277777263120412,1.32019210898735,"[0.666, 2.650]",0.66562882252007,2.65048879521589,0.428905651136532,0.571874201515376,"",0.0392192790327752
"safety_overall_init","MedicalSimple","FAQShow",0.561158111278554,1.7527011483371,"[0.885, 3.534]",0.88463955602203,3.53424387034708,0.110780574356948,0.147707432475931,"",0.0392192790327752
"safety_overall_init","MedicalSimple","combined_Medical_ExperienceTRUE",-0.22090008784389,0.80179678553399,"[0.442, 1.472]",0.44221509906683,1.47231034219936,0.47006487401465,0.940129748029301,"",0.0392192790327752
"safety_overall_init","MedicalSimple","combined_CS_ExperienceTRUE",0.160891714284456,1.17455777409829,"[0.585, 2.485]",0.584568552487539,2.48464084519545,0.660892512254566,0.660892512254566,"",0.0392192790327752
"safety_overall_init","MedicalComplex","Not at all safe|Somewhat safe",-1.98358073348492,0.137575732251957,"[NA, NA]",NA,NA,2.49794998056319e-07,4.99589996112639e-07,"Stayed significant",0.0302491511664304
"safety_overall_init","MedicalComplex","Somewhat safe|Completely safe",-0.193641073620497,0.823953589879613,"[NA, NA]",NA,NA,0.570378800851895,0.570378800851895,"",0.0302491511664304
"safety_overall_init","MedicalComplex","EXPLNUnsubstantial",0.0833135988987571,1.08688260029602,"[0.511, 2.317]",0.510824146445275,2.31724137962975,0.828418509003759,0.828418509003759,"",0.0302491511664304
"safety_overall_init","MedicalComplex","EXPLNHardware",0.681305409973211,1.97645613447785,"[0.934, 4.224]",0.934440457927894,4.22354169760968,0.0754709263830223,0.301883705532089,"",0.0302491511664304
"safety_overall_init","MedicalComplex","EXPLNTrust",0.436989113055951,1.54803922354819,"[0.730, 3.311]",0.729676529120748,3.31054947336435,0.255479836931358,0.340639782575143,"",0.0302491511664304
"safety_overall_init","MedicalComplex","FAQHide",0.17871955464582,1.19568537273556,"[0.630, 2.269]",0.630367539705489,2.26890821795442,0.583348432094033,0.583348432094033,"",0.0302491511664304
"safety_overall_init","MedicalComplex","FAQShow",0.42212384654314,1.52519740341307,"[0.786, 2.990]",0.786240582142182,2.99037239949746,0.213935149234294,0.213935149234294,"",0.0302491511664304
"safety_overall_init","MedicalComplex","combined_Medical_ExperienceTRUE",-0.00518875267388915,0.994824685650506,"[0.544, 1.864]",0.544365191657076,1.86389045940611,0.986762703218904,0.986762703218904,"",0.0302491511664304
"safety_overall_init","MedicalComplex","combined_CS_ExperienceTRUE",0.143399773696332,1.15419112469965,"[0.618, 2.224]",0.618407607041301,2.22421173463567,0.659170110362889,0.660892512254566,"",0.0302491511664304
"safety_overall_init","IoTSimple","Not at all safe|Somewhat safe",-2.69510760152478,0.0675351145019498,"[NA, NA]",NA,NA,6.41917455612091e-05,8.55889940816122e-05,"Stayed significant",0.109363165668207
"safety_overall_init","IoTSimple","Somewhat safe|Completely safe",0.505030425848836,1.65703593641879,"[NA, NA]",NA,NA,0.320534354273742,0.427379139031656,"",0.109363165668207
"safety_overall_init","IoTSimple","EXPLNUnsubstantial",-0.366510137098681,0.693149109926012,"[0.306, 1.543]",0.306298201636555,1.54262217657508,0.371941264047964,0.495921685397286,"",0.109363165668207
"safety_overall_init","IoTSimple","EXPLNHardware",0.651819059912062,1.91902848371058,"[0.792, 4.789]",0.792016125735521,4.7889600802868,0.152522211634529,0.305044423269058,"",0.109363165668207
"safety_overall_init","IoTSimple","EXPLNTrust",0.083456359031783,1.08703777487673,"[0.465, 2.542]",0.465318400983496,2.54161283850964,0.846319682372971,0.846319682372971,"",0.109363165668207
"safety_overall_init","IoTSimple","FAQHide",0.515772356746374,1.67493164710585,"[0.852, 3.361]",0.852199952276507,3.36064169470303,0.13901033508164,0.379808538953828,"",0.109363165668207
"safety_overall_init","IoTSimple","FAQShow",0.8719222538212,2.39150351474944,"[1.128, 5.336]",1.12791252773368,5.33646860776561,0.026860677306662,0.107442709226648,"Lost significance",0.109363165668207
"safety_overall_init","IoTSimple","combined_IoT_ExperienceTRUE",1.16732824088766,3.2133957398717,"[1.405, 7.306]",1.40505506134244,7.30596290344449,0.00520131822634877,0.0104026364526975,"Stayed significant",0.109363165668207
"safety_overall_init","IoTSimple","combined_CS_ExperienceTRUE",0.437698914798712,1.54913841454462,"[0.759, 3.343]",0.758751572575596,3.34275565830117,0.244426975670475,0.550512067271783,"",0.109363165668207
"safety_overall_init","IoTComplex","Not at all safe|Somewhat safe",-1.69667142468713,0.183292613057915,"[NA, NA]",NA,NA,0.000553995603480668,0.000553995603480668,"Stayed significant",0.0595033949897486
"safety_overall_init","IoTComplex","Somewhat safe|Completely safe",0.460632439643984,1.58507613304727,"[NA, NA]",NA,NA,0.312238002504408,0.427379139031656,"",0.0595033949897486
"safety_overall_init","IoTComplex","EXPLNUnsubstantial",0.946852330462792,2.57758349573731,"[1.221, 5.594]",1.22085892180077,5.59355954028167,0.0143328762686068,0.0573315050744271,"Lost significance",0.0595033949897486
"safety_overall_init","IoTComplex","EXPLNHardware",0.307350919167871,1.35981807058066,"[0.656, 2.847]",0.65554431041228,2.84699980845736,0.41048078526651,0.443618221202709,"",0.0595033949897486
"safety_overall_init","IoTComplex","EXPLNTrust",0.449801053163282,1.5680002057766,"[0.762, 3.263]",0.762224831634055,3.26320845995358,0.223781808393974,0.340639782575143,"",0.0595033949897486
"safety_overall_init","IoTComplex","FAQHide",0.448939562307811,1.5666499696295,"[0.802, 3.082]",0.801704304599271,3.08154072881466,0.189904269476914,0.379808538953828,"",0.0595033949897486
"safety_overall_init","IoTComplex","FAQShow",0.542438423938619,1.72019632015791,"[0.901, 3.298]",0.901057063714134,3.29835318907833,0.100360370154818,0.147707432475931,"",0.0595033949897486
"safety_overall_init","IoTComplex","combined_IoT_ExperienceTRUE",0.520932543221483,1.68359694478598,"[0.818, 3.390]",0.818136709735891,3.38964706414144,0.148689435432119,0.148689435432119,"",0.0595033949897486
"safety_overall_init","IoTComplex","combined_CS_ExperienceTRUE",-0.35783696082697,0.699187060594368,"[0.370, 1.345]",0.369947782996244,1.3445542419483,0.275256033635891,0.550512067271783,"",0.0595033949897486
