"Question","Scenario","term","p.value","q_value","Status"
"Q3","IoTSimple","combined_IoT_ExperienceTRUE",0.114093971756988,0.228187943513977,""
"Q3","IoTSimple","combined_CS_ExperienceTRUE",0.109148842084124,0.321475679309823,""
"Q3","IoTComplex","EXPLNUnsubstantial",0.00204895669874548,0.0081958267949819,"Stayed significant"
"Q3","IoTComplex","EXPLNHardware",0.00731705999853767,0.0292682399941507,"Stayed significant"
"Q3","IoTComplex","EXPLNTrust",0.00519020059450629,0.0103804011890126,"Stayed significant"
"Q3","IoTComplex","FAQHide",0.849297407892061,0.849297407892061,""
"Q3","IoTComplex","FAQShow",0.0186300249052538,0.074520099621015,"Lost significance"
"Q3","IoTComplex","combined_IoT_ExperienceTRUE",0.542632120838816,0.542632120838816,""
"Q3","IoTComplex","combined_CS_ExperienceTRUE",0.323746473206048,0.43166196427473,""
"Q4","MedicalSimple","EXPLNUnsubstantial",0.0725692200575755,0.0725692200575755,""
"Q4","MedicalSimple","EXPLNHardware",0.00495598701895092,0.0152837333966945,"Stayed significant"
"Q4","MedicalSimple","EXPLNTrust",0.0235924253423071,0.0471848506846143,"Stayed significant"
"Q4","MedicalSimple","FAQHide",0.391427294447391,0.668432917223692,""
"Q4","MedicalSimple","FAQShow",0.0770235882340345,0.308094352936138,""
"Q4","MedicalSimple","combined_Medical_ExperienceTRUE",0.0919177954260238,0.0919177954260238,""
"Q4","MedicalSimple","combined_CS_ExperienceTRUE",0.410898625493657,0.410898625493657,""
"Q4","MedicalComplex","EXPLNUnsubstantial",0.00627593614695852,0.0150014638785913,"Stayed significant"
"Q4","MedicalComplex","EXPLNHardware",0.0282353581276227,0.0282353581276227,"Stayed significant"
"Q4","MedicalComplex","EXPLNTrust",0.0186425667373073,0.0471848506846143,"Stayed significant"
"Q4","MedicalComplex","FAQHide",0.58628121531187,0.668432917223692,""
"Q4","MedicalComplex","FAQShow",0.500748868685462,0.607874849237962,""
"Q4","MedicalComplex","combined_Medical_ExperienceTRUE",0.016673966113227,0.033347932226454,"Stayed significant"
"Q4","MedicalComplex","combined_CS_ExperienceTRUE",0.0048579662855175,0.01943186514207,"Stayed significant"
"Q4","IoTSimple","EXPLNUnsubstantial",0.0112510979089435,0.0150014638785913,"Stayed significant"
"Q4","IoTSimple","EXPLNHardware",0.0132631620165799,0.0176842160221065,"Stayed significant"
"Q4","IoTSimple","EXPLNTrust",0.0796054215351377,0.0796054215351377,""
"Q4","IoTSimple","FAQHide",0.379682816771037,0.668432917223692,""
"Q4","IoTSimple","FAQShow",0.607874849237962,0.607874849237962,""
"Q4","IoTSimple","combined_IoT_ExperienceTRUE",0.0822077994323908,0.164415598864782,""
"Q4","IoTSimple","combined_CS_ExperienceTRUE",0.074925281577909,0.110716902926453,""
"Q4","IoTComplex","EXPLNUnsubstantial",0.011002467199159,0.0150014638785913,"Stayed significant"
"Q4","IoTComplex","EXPLNHardware",0.00764186669834726,0.0152837333966945,"Stayed significant"
