ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT-merged,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN_S1,EXPLN_S2,EXPLN_S3
R_6aylsM8uKtaGKrw,114,None,,,,,,,,,,I understand the TEe but would still be leery of having AI access my searches.,Distrust:Scenario,,,,,,,,,,This was an interesting study.,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,Prevents
R_3ibrTbco1Tmr4IQ,115,same,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,Prevents
R_3TAvVleahwKBO2k,116,Who is responsible for securing the data? Explain exactly how a TEE works? Where is data stored?,,,,Gen:How?,Gen:Implementation,,Scenario:People,,,Policy about data sharing with other companies,,,,,,,Scenario:Data,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,No Prevents
R_6TlqRCQvwkc0RZD,117,How is the TEE able to isolate my data from other parts of the computer? Is there any way this data could be hacked? My medical provider was hacked & had to go back to written files for months. The provider wasn't forthcoming about what happened & what data the hackers had access to.,,Risk:Hacking,Risk:Real,Gen:How?,Gen:Isolation,,,,,"Is a hacker able to access any personal information (name address, etc) that they could use for malicious purchases? How long will my data be stored & potentially used for future profuct development?",,Risk:Hacking,,,,,Scenario:Data,Scenario:Future,,,Have never heard about TEEs but realize now I need to look into this concept & see how my data is protected on devices that I currently own,,Medical-Complex,IoT-Simple,Trust,Technical,No Prevents
R_32L0pxPM2diEtPB,118,How will my data be used and would it be stored on a safe and secured network with encrypted methods of keeping my data safe?,,,,Gen:Encryption,,,Scenario:Data,,,How would my data be utilized? will be safe and stored on a safe network/database with encryption to maintain its safe keeping? will you sell my data?,,,,Gen:Encryption,,,Scenario:Data,,,,Thank you so much for allowing me to take part in this survey. I hope that my contributions will be of value to your research!,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_1zkbB7h90N8nrgT,119,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,No Prevents
R_3uBTM6iJ8sMRQQR,120,Same,,,,,,,,,,History of tees being circumvented?,,,,,,Use:Breaches,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_1rpOyyqcdDGYHCD,121,same,,,,,,,,,,none,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,No Prevents
R_3ghW0jp3MfRehpQ,122,same,,,,,,,,,,Would we have any way to request information on how our data is specifically being used with accuracy?,,,,,,,Scenario:Data,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_67IgIuTMdCi85ct,123,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,Prevents
R_1RaznavDCHne6h6,124,None,,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Untechnical,No Prevents
R_60qKv7Z4O7GGLiv,125,How are they enforced and who is responsible for administering and maintaining them?,,,,Gen:How?,,,Scenario:People,,,same,,,,,,,,,,,"I feel like I learned something new, and I appreciate the opportunity to participate in this survey. Thank you!",,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,Prevents
R_7Nn6YR4g9wfxcWt,126,same,,,,,,,,,,how do i know it is for sure secure?,,,,,,,,,Guarantee:General,,,,Medical-Complex,IoT-Complex,Trust,Technical,Prevents
R_65TS7u42BidpYMb,127,"Same, and also is it password protected sgainsy malicious  employees?",,,,Gen:Password,,,,,,Is it a real thing? Or a hypothetical idea just for the study?,,,,,,Use:Real,,,,,I understood this better after reviewing several times,,Medical-Complex,IoT-Complex,Trust,Technical,Prevents
R_1pF6Sm99uTl334B,128,same,,,,,,,,,,none,,,,,,,,,,,"It seems that access to the sensitive data from individuals, (even if it is a select few), is so concerning that the effectiveness or safety of TEEs seems less important when this is a factor. ",,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_62G42KFDazpbpF5,129,same,,,,,,,,,,If it is faster than having a human talk face-to-face,,,,Gen:Misc,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_3Cwgz6dVyWWkuAC,130,None,,,,,,,,,,Same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,Prevents
R_5qeA5rDpsCuN6Oc,131,What happens if the TEE fails?,,Risk:Fail,,,,,,,,same,,,,,,,,,,,No.,,Medical-Complex,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_6RWXdRxaFpTBDK7,132,none,,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Technical,No Prevents
R_3IAiSepYQCFYNp2,133,N/A,,,,,,,,,,N/A,,,,,,,,,,,N/a,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_1I5WkG7nY9cdHms,134,What makes this data safe? How is it stored on the computer? Who has access to it?,,,,Gen:How?,Gen:Implementation,,Scenario:People,,,same,,,,,,,,,,,N/A,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
R_12mf4q3UyXdvtS1,135,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,No Prevents
R_75zXKAfWEtmqE81,136,same,,,,,,,,,,How well implemented are TEEs broadly?,,,,,,,,,Guarantee:General,,,,Medical-Simple,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_5TpcovTvJtmlT33,137,same,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
R_5lLnj2KX2itm0CY,138,same,,,,,,,,,,How often do they fail to protect privacy,,,,,,Use:Breaches,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,No Prevents
R_3AKEKbjvLt1pYkR,139,What prevents someone from accessing my information in the TEE?,,,,Gen:How?,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
R_3gHdvho6tQnkFkQ,140,"it says that a small team of researchers have acess inside the TEE  so if one of them , the researchers,  is farming identies you woulfd be screwed    one hopes that the prtofvessionals are legit and most of them are but my lucvk i would get the criminal researcher having acess to my personal info",,Risk:People,,,,,,,,none,,,,,,,,,,, no,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_1lrWbeQEgMXwOop,141,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
R_1DOb9BeUecTxusQ,142,"Is the environment its own program as well? I guess what I’m trying to understand is how it’s confirmed that this environment is secure from the rest of the computer/other programs running. If someone were to hack onto the computer itself, what stops them from manipulating the programming for the TEE?",,Risk:Hacking,Risk:Tamper,Gen:Implementation,Gen:Isolation,,,,Guarantee:General,Same,,,,,,,,,,,N/A,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_1ErHeTKg6R1uOE1,143,I don’t have a problem sharing already public information but how do I know TEE will actually keep my information safe?,,,,,,,Scenario:Positive,,Guarantee:General,What company would be providing the TEE?,,,,Gen:Misc,,,,,,,Informative survey. Thank you ,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_6eM2mL4Le4oPjUZ,144,same,,,,,,,,,,Can you t trust the makers of the TEE,Distrust:Manufactuerer,,,Gen:Misc,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_6eJ0Xnj5vB818St,145,I'd be open to more risk (such as personal data) if it came to ensuring a better medical diagnosis and positive health benefits,,,,,,,Scenario:Positive,,,There's no such thing as completely safe. That's it.,Distrust:Vague,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_7Mzfvh0zu6v2gWl,146,How exactly is a TEE isolated from the rest of the computer?,,,,Gen:Isolation,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,Prevents
R_7FQbZ79xiwV5gkH,147,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_77wqLLCaQmmADqp,148,"Being tech-oriented and fairly well-versed with AI myself, I'd like to know a little bit about the technique itself, rather than just a blanket assurance that the data would be protected. There are too many breaches now-a-days to feel safe.",Distrust:Vague,Risk:Real,,Gen:How?,,,Scenario:Misc,,,"IN addition to my previous response, and based on answering an earlier question about disgruntled employees installing malicious code into the TEE computer to steal data, one additional question would be about the nature of physical protection of the computer, besides software-level isolation.",,,,Gen:Implementation,,,,,,,"None, enjoyed this survey and learned something new, so thanks!",,Medical-Complex,IoT-Simple,Unsubstantial,Technical,No Prevents
R_71IcgNmBTjuFyHn,149,Same,,,,,,,,,,What happens to my data when I no longer wish for it to be stored,,,,,,,Scenario:Data,,,,,,Medical-Simple,IoT-Complex,Trust,Untechnical,No Prevents
R_5j5eP5LDcXA0vjb,150,Is it still a part of the overall operating system of the network/computer?  There is no such thing as a completely safe system unless there is an actual physical gap between the rest of the internet.,Distrust:Vague,,,Gen:Features,Gen:Implementation,,,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_6wNVdDQjSYAcZac,151,How do we know that it is 100% secure?,,,,,,,,,Guarantee:General,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Technical,Prevents
R_5QnLVGIPijUFL6U,152,Same,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Untechnical,Prevents
R_33VKb5WfiSCYUJ4,153,SAME,,,,,,,,,,NONE,,,,,,,,,,,N/A,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_1VkCiDZ0lUEvkG4,154,"I wouldn't have questions about TEEs, just questions about who is involved in running the study and how much privacy is involved with their party, and how many degrees of separation there is between them and the TEE.",,,,,,,Scenario:People,,,same,,,,,,,,,,,"On the second of multiple choice questions, when asking about the smart lightbulb, I couldn't remember everything from the new prompt about the development team situation. I wish that that information had been included on the screen as well as the paragraph about the TEE so I could have referenced it when answering my questions below, too.",,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_1vLDkHEFgv1hoB3,155,Who is running the TEE hospitals?,,,,,,,Scenario:People,,,"""same""",,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,Prevents
R_7Pc16VGCwQJDhBL,156,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,No Prevents
R_5fdkT2kNr8O2ZtT,157,same,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,Prevents
R_77EergnQZOTdxQj,158,same,,,,,,,,,,None?,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,No Prevents
R_1dAknzJQIhtXiJN,159,I’m not too familiar with how the data is secured.,,,,Gen:How?,,,,,,Same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Technical,Prevents
R_5T176KdAegLqmHv,160,Same,,,,,,,,,,How is the TEE isolated and how possible is it for the security measures to be bypassed? Who gets access to it?,,Risk:General,,Gen:Answered,Gen:Isolation,,,,Guarantee:General,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_1n3oRQ0UONpgdEB,161,Same,,,,,,,,,,None,,,,,,,,,,,Knowing of data breaches of large companies leaves me with a lack of trust. ,,Medical-Complex,IoT-Complex,Hardware,Untechnical,Prevents
R_1I0k5iXWugbyweq,162,How can I be sure that a hacker won't figure out a way to access the data?,,Risk:Hacking,,,,,,,Guarantee:General,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_6aS2iDqA2PGKqnD,163,None,,,,,,,,,,Same,,,,,,,,,,,Good survey,,Medical-Simple,IoT-Simple,Hardware,Technical,No Prevents
R_6tW2uDEcMQJAb4J,164,How easy are they to hack?,,Risk:Hacking,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,No Prevents
R_1F1Y8wGynsMRT2T,165,Same,,,,,,,,,,None.,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Technical,Prevents
R_5dLN3o8tQ1Od5Zk,166,I really wonder how good of a job the TTE does regarding protecting data.  I want to trust that it would do a good job in protecting my data.,,,,,,,,,Guarantee:General,While I would never do a lot of the things that I have interest in and may or may not talk about at times aloud with my wife.  I don't think it's a good idea to have a wiretap in my house.,Distrust:Scenario,,,,,,,,,,I appreciate the opportunity to participate in the study and I hope that my responses are beneficial to your results.,,Medical-Complex,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_7o53NTxwq0OQRb4,167,What happens when the data protections fail,Distrust:TEE,Risk:Fail,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Technical,No Prevents
R_60OGVrBny8Sa4JF,168,same,,,,,,,,,,I'd be curious to know how many people are on a team that has access to the TEEs.,,,,,,,Scenario:People,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_5rk2y0lHGXnkQVp,169,"What data of mine, specifically, would be protected by the TEE?",,,,,,,Scenario:Data,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_5esFSpWTmbzCYBt,170,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_5LPIoPC2uP6p7Ut,171,What are the risks associated with TEE? What happens if somehow the information is not protected? How can researchers guarantee the data is secure even if the rest of the computer is not?,,Risk:Fail,Risk:General,Gen:How?,,,,,Guarantee:General,Same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Technical,No Prevents
R_7WJqaSty2tQ1Xug,172,How is the TEE isolated and is the part that's protected connected to the internet?,,,,Gen:Features,Gen:Isolation,,,,,If the device is made by an unethical company like Amazon or google why would I trust or care whether their listening device is isolated?,Distrust:Manufactuerer,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_7YBqotTKWRZ8IdX,173,"Are TEEs like virtual machines? If not, how do they keep information from being found via the host?",,,,Gen:Misc,Gen:Tech,,,,,How do TEEs keep my data separate from the machine it is stored in?,,,,Gen:Isolation,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,No Prevents
R_3gHqpQiUNLtqts7,174,none,,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_6w1y8i1rZnWdpmt,175,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Technical,No Prevents
R_7J7Nr1wZ0C5AiKS,176,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Untechnical,No Prevents
R_11FzXDrfq1ew6cZ,177,same,,,,,,,,,,Could they sell the information to a third party?,,,,,,,Scenario:Data,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,No Prevents
R_5E133eTkzVRDfmN,178,N/A,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_3qlqqwOW2tk279v,179,same,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,Prevents
R_31dw02xkvfS4uVQ,180,Same,,,,,,,,,,None,,,,,,,,,,,Mo,,Medical-Complex,IoT-Complex,Trust,Technical,No Prevents
R_6VxBhftI46zCaIM,181,What kind of process ensures that the researchers will not share my data?,,Risk:People,,,,,Scenario:People,,,"Is the data encrypted? If so, what kind of encryption is used? How is the data transmitted to the developers?",,,,Gen:Encryption,Gen:Transmit,,,,,,"Some of the True/False questions could have been answered with a ""maybe"".  Especially, the questions regarding developers/researchers.     ",,Medical-Complex,IoT-Complex,Hardware,Technical,No Prevents
R_6TX4vEhzHz1CkH7,182,same,,,,,,,,,,N/A,,,,,,,,,,,No,,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
R_10NZtNKNw0GOfUB,183,Same.,,,,,,,,,,None.,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,No Prevents
R_5Bmpfepy6WmLp0v,184,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_1O7GHLrKROKQk36,185,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_1srFdtbrZSUM79T,186,how does the data get in and out of the environment?  is this computer system airdropped no network cards or wifi?  is it backed up somewhere?  how is it backed up? physical media? ota transfers?   no system is going to be 100% secure.,Distrust:Vague,,,Gen:Features,Gen:Implementation,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
R_1F2Nhtk4EsTxMJ4,187,Who has access to the logfiles of TEE.,,,,Gen:Misc,,,Scenario:People,,,How long will my data be used.,,,,,,,Scenario:Data,,,,I have no comments thank you.,,Medical-Complex,IoT-Simple,Trust,Technical,No Prevents
R_7IlQlofOXrEJCcT,188,I am not quite sure I understand the layout of how it is protected. I think a picture would help.,,,,Gen:How?,,,,,,How would the voice assistant put my data in a TEE?,,,,Gen:Transmit,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Technical,No Prevents
R_6oxq0RzEkQbcpq1,189,n/a,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_5rwI4ltUwuEgebC,190,same,,,,,,,,,,"Who would be authorized, why would a TEE be used with my data",,,,Gen:Answered,Gen:Misc,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_10AzzI3wJmfkFcd,191,Same,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_5n6qGKmHodFADqg,192,Same.,,,,,,,,,,Is there any possible way that a hacker or anyone else could gain access to the rest of my computer?,,Risk:Hacking,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,No Prevents
R_7cAYIsme5fThQ1b,193,"I would just be curious to know more about how it works, I wouldn't have any doubts about it's security if the team behind it is reputable.",,,,Gen:How?,,,,,,Same,,,,,,,,,,,No feedback at this time.,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_5PsTXeUB73DpaiY,194,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,Prevents
R_7R95JRyBdAeHxHm,195,Same,,,,,,,,,,Could the TEE be hacked?,,Risk:Hacking,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,No Prevents
R_5curxvnD3PXWCrr,196,same,,,,,,,,,,What techniques are used exactly?,,,,Gen:How?,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_3IGJ6LuNwcngfm1,197,same,,,,,,,,,,"None, I just do not trust it.  Data breaches happen and can't be prevented.",Distrust:TEE,,,,,,,,,,none,,Medical-Simple,IoT-Simple,Hardware,Untechnical,Prevents
R_5kT7IaFBXStCdZl,198,can bugs in the computer breach the data,,Risk:General,,Gen:Diff,,,,,,who has access to the information,,,,Gen:Answered,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,No Prevents
R_7nML8LiDdckFbzM,199,None,,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,Prevents
R_7FS0kMKZ2zHJ2vf,200,I'd want to know how it works.,,,,Gen:How?,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,No Prevents
R_5ESGZRTmO3O1E2J,201,same,,,,,,,,,,I don't feel that the storage of my name and address is necessary.  It seems to me that the developers only need the statistical data to develop other products.  I would imagine the purpose of storing my name and address is for possible future marketing. I just find the description somewhat misleading.,Distrust:Scenario,,,,,,Scenario:Data,,,,no,,Medical-Simple,IoT-Simple,Hardware,Untechnical,Prevents
R_7zN3KmLTlCXqjTk,202,I can't think of any,,,,,,,,,,Same,,,,,,,,,,,No,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_6RmweMJuMuFddUb,203,Is authorization able to be revoked?,,,,Gen:Auth,,,,,,Is TEE access given to the whole team or just one person?,,,,,,,Scenario:People,,,,,,Medical-Simple,IoT-Complex,Trust,Untechnical,Prevents
R_5s1PobAe1Pbc9QO,204,same,,,,,,,,,,I would like to know if there have been cases in the past where TEEs have been hacked.,,Risk:Hacking,,,,Use:Breaches,,,,,,,Medical-Complex,IoT-Simple,Hardware,Technical,Prevents
R_649zPYu0NTYt1Ch,205,,,,,,,,,,,None.,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,No Prevents
R_7l9mBGkyrHEXgDq,206,"Same. Also, how is the TEE different than encryption?",,,,Gen:Encryption,Gen:Tech,,,,,I'd want to know if I can decline to share my data with company developing the AI. Have they had any data breaches in the past? Is there information on the efficacy of TEEs?,,,,,,Use:Breaches,Scenario:Data,,Guarantee:General,,Another question about TEEs: can people who have access to the developer/researcher's computer have access to the data in the TEE? Is it password protected? ,,Medical-Complex,IoT-Complex,Hardware,Technical,No Prevents
R_6cTAeUvPfEsJk6C,207,,,,,,,,,,,how many at company can access TEE,,,,,,,Scenario:People,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,Prevents
R_5nAzyWxUnxVwQiK,208,I don’t think I have any,,,,,,,,,,overall I don’t really understand why it is safer,,,,Gen:Misc,,,,,Guarantee:General,,,,Medical-Simple,IoT-Complex,Hardware,Technical,No Prevents
R_5AoUVJNB7iOZTLb,209,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Technical,No Prevents
R_6YPu3Zpomps1A8z,210,What proportion of the time the TEE is successful in protecting data,,Risk:General,,,,,,,Guarantee:General,same,,,,,,,,,,,no,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
R_7OdIUsCOdQNahy6,211,I don't have any questions. It is clear about what it does.,,,,,,,,,,Would I know when my information is being used? I think if my data is being used for product development that ultimately produces a revenue stream for the company that used it I should be getting a piece of the pie for my valuable data.,,,,,,,Scenario:Data,Scenario:Incentive,,,no comment ,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_1eF2ZRue4PsBGKY,212,No questions.,,,,,,,,,,No questions.,,,,,,,,,,,It seems a standalone computer not connected to a network would be safe if the data were encrypted.,,Medical-Complex,IoT-Simple,Trust,Untechnical,Prevents
R_6Kr99f6XKJ7p1A8,213,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_1D7uIGhTiygt1b4,214,Same.,,,,,,,,,,I don't have any questions about TEE.,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,Prevents
R_5MX6ZyOMsFyjAyZ,215,What exactly are the protections that they put in place to protect the data?,,,,Gen:How?,,,,,,Same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,No Prevents
R_5MscO3vDwfjl0qd,216,how is this data stored? how secure is the system that it is stored on? are there firewalls or other security measures in place to protect the data from a breach or manipulation?,,,,Gen:Implementation,,,,,Guarantee:General,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,Prevents
R_60PAc33tSeOOzpn,217,same,,,,,,,,,,No questions,,,,,,,,,,,No thank you,,Medical-Complex,IoT-Complex,Trust,Technical,No Prevents
R_13YlxdIhkGwKWZ3,218,Same,,,,,,,,,,None,,,,,,,,,,,No,,Medical-Simple,IoT-Complex,Trust,Technical,No Prevents
R_1zuOmyKUkOkC06R,219,is the computer still hooked up to the internet?,,,,Gen:Features,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,Prevents
R_63jpd5IJisIJJAZ,220,None,,,,,,,,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Technical,Prevents
R_7gjxhmFGohYBGCJ,221,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,No Prevents
R_7zFUfXSrnUqmBCC,222,none,,,,,,,,,,none,,,,,,,,,,,no,,Medical-Complex,IoT-Complex,Hardware,Technical,No Prevents
R_7doXkIdkVUwF0ss,223,same,,,,,,,,,,Nothing really. I know that TEE is an area. or part of the CPU that houses secured data. Am I right?  Or it is the part of the CPU where data is processed securely.,,,,Gen:Implementation,,,,,,,nothing to add,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_39npzNz9VbFP70C,224,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_5TUmwpWw77lXItO,225,same,,,,,,,,,,I would like to know to what level does TEE protect your data,,,,,,,,,Guarantee:General,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,Prevents
R_5kmWAfJnQIGLoNr,226,none,,,,,,,,,,Does it work like a sandbox environment?,,,,Gen:Tech,,,,,,,none,,Medical-Simple,IoT-Complex,Hardware,Technical,Prevents
R_5FLwwyF3XUuDGox,227,"While this sounds very secure (or at least more secure than other things), what are its vulnerability? Is there any way for anyone outside to access my data or for someone within to move it?",,Risk:General,Risk:People,Gen:Diff,,,,,,Is it completely safe from hacking?,,Risk:Hacking,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_3eJewc2jWA7EK69,228,Who are those authorized to view the data?,,,,Gen:Answered,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,Prevents
R_1IQIeqlM4dg9IA1,229,None,,,,,,,,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_7eEG0rmAHGZb0Si,230,same,,,,,,,,,,how is the data secured?,,,,Gen:How?,,,,,,,no,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
R_7IQ31CAJ3Gg5Ca9,231,None,,,,,,,,,,Same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,No Prevents
R_6RlIZHvChCY8eYB,232,"I need to know the full protections, how data leaks would be detected, and damages I would be if there's any leak",,Risk:Fail,,Gen:Misc,,,Sceanrio:Fail,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_5Ev2bIo2j9oGSYo,233,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,No Prevents
R_3DZBCsHXJrWQgoh,234,How well protected and secure is this system from hackers?,,Risk:Hacking,,,,,,,Guarantee:General,How will my data be used to train other AIs? Is that training system also secure and saved in a separate part of the computer?,,,,,,,Scenario:Data,Scenario:Future,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,Prevents
R_5z7grkYQoF33tW9,235,"No questions, I just don't believe there has been a completely secure mechanism for securing data that can't be breached.",Distrust:Vague,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,Prevents
R_6MGTD189zL5JnFh,236,How does it do it?,,,,Gen:How?,,,,,,Same,,,,,,,,,,,None,,Medical-Complex,IoT-Complex,Trust,Technical,Prevents
R_5NF1HehRlSttP3A,237,I would be curious to learn how TEEs work on a more technical level. Exactly how are they isolated from the rest of a computer? How is the data accessed by the authorized people?,,,,Gen:How?,Gen:Isolation,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_6CWeQAEJAAx6uRi,238,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Untechnical,Prevents
