ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT-merged,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN_S1,EXPLN_S2,EXPLN_S3
R_1fOhOljcNufcPhc,29,None,,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_7OeMZpm0jVaIJtp,30,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
R_7ltYmBXzmLnItae,31,n/a,,,,,,,,,,same,,,,,,,,,,,n/a,,Medical-Simple,IoT-Complex,Hardware,Technical,No Prevents
R_3psQxOWcgbKJcfA,32,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_1EoAtAMTyDc5zsa,33,I do not have any,,,,,,,,,,SAME,,,,,,,,,,,none,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_19OdQEScuXCpTc5,34,same,,,,,,,,,,none,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Untechnical,Prevents
R_7rluSxVBkBMj7Uq,35,None,,,,,,,,,,same,,,,,,,,,,,None,,Medical-Simple,IoT-Complex,Trust,Technical,Prevents
R_61WW68IJQi7axi8,36,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_1dfLsoEciyPHImj,37,same,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_3TApwxR0NjrtczL,38,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Technical,Prevents
R_5RNUi22qTPEJYgp,39,What instances have there been where security measures in TEE's have failed?,,,,,,Use:Breaches,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_3W0KALYEQJ45tn3,40,Same,,,,,,,,,,None,,,,,,,,,,,Nope,,Medical-Simple,IoT-Complex,Trust,Technical,Prevents
R_5ODLMs03e8SD9Jm,41,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_325VcST03ZYcbYs,42,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Technical,Prevents
R_12S3UkEpVdKeirv,43,same,,,,,,,,,,none,,,,,,,,,,,no,,Medical-Complex,IoT-Complex,Hardware,Untechnical,Prevents
R_1guRonw5pN3D5Zg,44,same,,,,,,,,,,Have TEEs ever been breached?,,,,,,Use:Breaches,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,No Prevents
R_5eBMIiciV6a9cD7,45,I dont have any questions.,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_5DvxSXDCHDXAVPu,46,None,,,,,,,,,,Same,,,,,,,,,,,None,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
R_5qEVBJnwzUX0Y8N,47,Same,,,,,,,,,,"I get that the program is safe from other possibly malicious programs, but what about hackers.",,Risk:Hacking,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_6SRfLfdOaqOsyuR,48,"When you say that the data is isolated, I presume that means that the researches cannot use any other programs at the same time? (i.e. Email, Instant Messaging, the web, etc.)",,,,Gen:Features,Gen:Isolation,,,,,"Same question as the previous question: can the people using my data also use email, instant messaging, screenshotting at the same time as they are handling my data?",,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
